DateTime,AddedIPs,RemovedIPs
1536725147,12,10
1536727004,5,15
1536728937,7,9
1536730827,9,13
1536732777,7,10
1536734676,5,10
1536736622,14,11
1536738520,7,8
1536740432,14,5
1536742353,11,13
1536744304,8,14
1536746226,8,16
1536748123,11,10
1536750996,15,20
1536752914,15,14
1536754833,10,8
1536756746,10,13
1536758674,9,6
1536760588,6,12
1536762507,14,5
1536764679,13,11
1536766533,12,6
1536768790,17,14
1536770687,15,14
1536772599,14,5
1536774529,9,13
1536776426,11,15
1536778370,9,14
1536780269,7,13
1536782206,2,10
1536784106,6,18
1536786094,4,10
1536787951,2,13
1536789888,6,5
1536791790,10,9
1536793713,4,8
1536795624,6,10
1536797542,9,8
1536799464,7,13
1536801402,5,17
1536803304,3,11
1536805225,5,10
1536807158,0,13
1536809065,1,6
1536811020,1,14
1536812904,0,8
1536814881,0,7
1536816749,1,7
1536818667,0,5
1536820592,0,7
1536822499,3,12
1536824413,10,10
1536826355,12,14
1536828253,6,8
1536830177,15,12
1536832114,7,10
1536834021,7,11
1536835947,10,7
1536837854,9,11
1536839772,10,16
1536841968,9,11
1536843879,12,9
1536846288,16,12
1536848203,5,10
1536850124,5,11
1536852047,9,15
1536853940,4,6
1536855887,4,21
1536857787,4,14
1536859721,5,14
1536861700,6,9
1536863566,4,8
1536865508,6,12
1536867386,5,3
1536869330,13,5
1536871248,14,4
1536873133,9,3
1536875075,9,3
1536877250,10,11
1536879152,5,7
1536881080,8,2
1536883252,12,11
1536885138,11,8
1536887338,13,8
1536889251,15,2
1536891159,18,6
1536893059,19,0
1536895031,14,0
1536896903,12,2
1536898859,15,0
1536900749,13,0
1536902687,13,1
1536904598,7,0
1536906530,18,0
1536908487,14,1
1536910623,16,13
1536912554,14,11
1536914465,21,6
1536916364,15,14
1536918283,8,6
1536920221,7,9
1536922103,6,8
1536924073,8,9
1536925955,7,12
1536928132,15,6
1536930096,14,13
1536931969,13,15
1536933874,14,6
1536935776,16,3
1536937744,10,7
1536939896,12,7
1536941806,18,2
1536943711,10,6
1536945632,12,5
1536947568,5,3
1536949480,17,7
1536951398,5,5
1536953333,14,6
1536955281,16,11
1536957161,12,15
1536959091,12,8
1536961019,16,12
1536962919,17,12
1536964870,12,4
1536967018,12,5
1536968900,10,12
1536970844,16,8
1536972767,15,15
1536974686,10,11
1536976575,8,17
1536978503,13,21
1536980502,12,12
1536982371,7,13
1536984334,6,14
1536986187,9,14
1536988129,15,14
1536990057,10,7
1536992217,9,19
1536994355,8,15
1536996517,8,15
1536998492,12,13
1537000366,7,22
1537002286,9,15
1537004210,7,12
1537006110,15,7
1537008051,11,5
1537009960,15,8
1537011879,5,7
1537013842,13,9
1537015975,7,18
1537017876,13,14
