DateTime,AddedIPs,RemovedIPs
1536666770,3,4
1536668688,0,4
1536672508,2,1
1536674495,1,2
1536676350,1,1
1536678344,1,2
1536680436,1,2
1536682351,3,3
1536684292,4,0
1536686223,4,3
1536688283,2,2
1536690281,570,2
1536692173,0,3
1536694107,1,1
1536696085,8,3
1536698199,3,0
1536700125,5,0
1536702034,2,2
1536703963,2,2
1536705878,73,0
1536707797,2,1
1536709715,3,3
1536711631,2,3
1536713575,0,1
1536715498,3,2
1536717404,1,2
1536719315,1,1
1536721294,1,2
1536723156,2,2
1536725148,0,4
1536727005,1,0
1536728939,0,1
1536730828,2,3
1536732778,0,1
1536734678,1,0
1536736624,2,1
1536738521,2,2
1536740456,0,4
1536742355,2,1
1536744305,2,3
1536746227,0,21
1536748125,0,15
1536750997,2,4
1536752915,2,2
1536754834,1,0
1536756748,3,0
1536758675,1,3
1536760589,1,2
1536762509,7,2
1536764682,2,1
1536766536,1,2
1536768792,2,2
1536770688,3,4
1536772601,3,5
1536774539,2,2
1536776429,0,571
1536778371,1,2
1536780271,2,1
1536782207,1,7
1536784108,0,4
1536786096,2,1
1536787953,2,2
1536789897,1,1
1536791792,0,73
1536793715,2,2
1536795626,2,3
1536797544,1,1
1536799466,0,2
1536801403,3,2
1536803305,3,1
1536805226,1,1
1536807160,2,1
1536809067,2,3
1536811021,1,0
1536812905,1,1
1536814885,2,1
1536816758,0,2
1536818668,0,2
1536820594,4,1
1536822500,2,2
1536824414,1,2
1536826356,0,1
1536828254,2,2
1536830179,0,2
1536832115,1,0
1536834023,3,1
1536835948,2,1
1536837856,3,2
1536839774,2,3
1536841969,1,2
1536846289,3,1
1536848204,1,5
1536850126,1,2
1536852049,1,2
1536853941,2,2
1536855889,0,1
1536857788,0,4
1536859722,1,0
1536861702,0,2
1536863567,3,0
1536865510,0,2
1536867395,1,4
1536869331,1,0
1536871249,2,0
1536873134,2,2
1536875076,0,2
1536877252,3,1
1536879153,1,2
1536881081,2,1
1536883254,0,1
1536885139,3,1
1536887340,1,2
1536889253,2,2
1536891160,2,3
1536893060,4,2
1536895032,0,2
1536896905,0,1
1536898861,2,1
1536900750,2,3
1536902689,5,1
1536906532,2,4
1536908489,2,1
1536910624,2,2
1536912555,2,0
1536914467,1,3
1536916365,4,0
1536918285,0,2
1536920223,0,2
1536922104,0,4
1536924074,2,1
1536925957,2,1
1536928133,1,1
1536930097,0,2
1536931970,1,2
1536933875,1,1
1536935778,0,2
1536937746,1,2
1536939897,0,2
1536941807,0,1
1536943712,0,1
1536945634,1,0
1536947569,1,2
1536949481,2,3
1536951399,1,2
1536955283,1,3
1536957163,1,2
1536959093,0,2
1536961020,1,0
1536962920,1,1
1536964872,0,3
1536967020,3,2
1536970845,2,2
1536972768,2,2
1536974688,1,1
1536976576,3,1
1536978504,1,2
1536980504,1,2
1536982372,1,0
1536984335,2,1
1536986188,0,1
1536988131,1,4
1536990058,0,1
1536994357,1,3
1536996518,2,2
1536998493,4,2
1537000368,4,2
1537002288,0,3
1537004212,2,1
1537006112,0,1
1537008052,2,0
1537009961,1,1
1537011881,0,1
1537013843,2,1
1537015976,9,0
1537017877,30,0
1537019807,11,2
1537021712,1,0
1537025561,1,0
1537027550,0,1
1537029642,1,0
1537031581,2,2
1537033473,2,1
1537035427,1,2
1537037301,1,2
1537039258,1,0
