DateTime,AddedIPs,RemovedIPs
1536728944,17,9
1536730843,10,7
1536732783,11,10
1536734683,8,17
1536736631,9,8
1536738526,18,20
1536740461,5,8
1536742365,17,23
1536744316,14,15
1536746233,15,30
1536748130,9,26
1536750083,10,14
1536751959,9,18
1536753876,10,12
1536755801,14,17
1536757715,10,16
1536759628,15,12
1536761560,13,30
1536763496,12,8
1536765380,23,12
1536767313,14,33
1536769257,10,12
1536771167,10,20
1536773085,14,14
1536774987,7,17
1536776928,9,26
1536778898,20,20
1536780766,17,12
1536782685,8,13
1536784580,12,11
1536786533,18,10
1536788441,6,16
1536790350,7,29
1536792261,14,10
1536794245,7,16
1536796101,10,24
1536798049,7,18
1536799968,11,9
1536801900,8,20
1536803789,8,9
1536805710,8,8
1536807696,4,17
1536809569,8,13
1536811475,8,14
1536813412,8,8
1536815337,13,16
1536817248,4,7
1536819173,7,8
1536821094,14,13
1536823242,16,13
1536825166,6,14
1536827102,8,5
1536829010,11,18
1536831151,12,14
1536833058,10,13
1536834982,13,13
1536836917,11,8
1536839083,12,10
1536841028,11,9
1536842912,19,17
1536844836,13,12
1536846785,6,12
1536848674,12,8
1536850592,12,16
1536852507,9,22
1536854491,10,15
1536856365,6,6
1536858331,14,16
1536860213,9,12
1536862116,9,10
1536864030,5,13
1536865959,7,23
1536867891,11,10
1536869804,11,11
1536871974,12,16
1536873869,11,13
1536875803,7,8
1536877710,11,10
1536879707,4,9
1536881545,8,8
1536883502,14,8
1536885428,15,9
1536887345,8,8
1536889257,7,9
1536891164,8,7
1536893065,10,6
1536895037,13,6
1536896910,8,7
1536898865,8,9
1536900755,9,9
1536902693,13,9
1536904603,16,4
1536906536,10,11
1536908494,10,14
1536910630,10,12
1536912561,13,6
1536914478,8,11
1536916370,5,11
1536918292,10,9
1536920235,12,11
1536922109,9,11
1536924079,9,11
1536925961,13,14
1536928138,16,17
1536930103,14,12
1536931975,15,7
1536933881,7,9
1536935783,12,12
1536937751,10,7
1536939902,34,11
1536941812,13,12
1536943727,15,10
1536945652,7,10
1536947574,8,12
1536949485,34,4
1536951403,5,9
1536953340,9,12
1536955289,13,5
1536957168,6,14
1536959100,24,8
1536961025,9,13
1536962933,9,7
1536964878,10,9
1536967032,6,8
1536968906,3,7
1536970858,9,18
1536972774,13,8
1536974699,10,12
1536976581,8,6
1536978509,8,9
1536980515,9,10
1536982379,9,11
1536984342,14,8
