DateTime,Entries,UniqueIPs
1537264119,9162,9368
1537265079,9163,9369
1537266033,9161,9368
1537266750,9160,9368
1537267469,9164,9374
1537268180,9163,9373
1537268920,9159,9369
1537270109,9157,9367
1537271072,9160,9373
1537272076,9154,9367
1537272998,9154,9367
1537273955,9157,9370
1537274666,9159,9372
1537275382,9168,9381
1537276352,9167,9381
1537277063,9166,9382
1537278055,9172,9388
1537278993,9172,9389
1537279960,9172,9389
1537280676,9173,9390
1537281369,9172,9389
1537282094,9169,9388
1537282824,9166,9385
1537283794,9159,9384
1537284739,9163,9387
1537285701,9165,9389
1537286665,9165,9390
1537288371,9156,9383
1537289075,9163,9391
1537290033,9164,9393
1537291002,9149,9388
1537291950,9159,9398
1537292913,9162,9401
1537293875,9141,9379
1537294836,9142,9384
1537295544,9142,9385
1537296280,9143,9386
1537296978,9152,9395
1537297708,9140,9382
1537298419,9140,9382
1537299153,9140,9381
1537299864,9152,9393
1537300586,9153,9394
1537301549,9138,9379
1537302508,9140,9381
1537303467,9142,9382
1537304439,9139,9379
1537305128,9133,9373
1537305859,9135,9372
1537306569,9142,9379
1537307294,9134,9369
1537308265,9137,9372
1537309226,9133,9369
1537309933,9127,9363
1537310653,9135,9371
1537311368,9131,9367
1537312116,9127,9363
1537313070,9125,9357
1537314026,9121,9353
1537314738,9117,9349
1537315476,9129,9362
1537316199,9128,9361
1537317153,9117,9349
1537317863,9115,9346
1537318600,9121,9352
1537319313,9118,9349
1537320031,9119,9350
1537320744,9117,9348
1537321465,9126,9357
1537322179,9123,9354
1537322908,9123,9354
1537323869,9119,9350
1537324837,9126,9357
1537325540,9135,9367
1537326272,9132,9364
1537327000,9137,9369
1537327707,9136,9368
1537328431,9144,9378
1537329147,9140,9374
1537329866,9148,9386
1537330588,9143,9382
1537331549,9137,9376
1537332262,9139,9378
1537332981,9138,9377
1537333704,9127,9366
1537334422,9122,9361
1537335146,9127,9366
1537335865,9124,9363
1537336582,9120,9358
1537337309,9113,9351
1537338020,9119,9357
1537338817,9099,9337
1537339469,9107,9345
1537340195,9104,9342
1537340889,9109,9347
1537341857,9104,9342
1537342576,9098,9336
1537343294,9100,9343
1537344017,9094,9337
1537344735,9103,9346
1537345450,9102,9345
1537346424,9096,9339
1537347129,9093,9335
1537347865,9089,9332
1537348816,9038,9230
1537349536,9048,9240
1537350263,9045,9237
1537350978,9042,9234
1537351716,9038,9230
1537352670,9044,9236
1537353645,9053,9244
1537354340,9052,9243
1537355076,9056,9247
1537356032,9052,9243
1537356746,9049,9240
1537357466,9058,9249
1537358179,9066,9256
1537358967,9062,9251
1537359889,9060,9249
1537360814,9068,9257
1537361528,9069,9258
1537362259,9064,9253
1537363221,9069,9258
1537363933,9081,9270
1537364652,9083,9272
1537365633,9080,9269
1537366585,9083,9269
1537367548,9084,9270
1537368254,9085,9271
1537368972,9087,9273
1537369949,9092,9278
1537370662,9089,9275
1537371631,9102,9288
1537372339,9102,9288
1537373069,9096,9277
1537373786,9102,9283
1537374504,9106,9287
1537375221,9113,9294
1537375942,9113,9293
1537376665,9107,9286
1537377399,9117,9296
1537378349,9109,9290
1537379062,9110,9291
1537379779,9118,9298
1537380504,9114,9294
1537381225,9126,9306
1537381944,9123,9307
1537382667,9128,9313
1537383384,9118,9303
1537384114,9117,9302
1537385069,9111,9295
1537386028,9117,9301
1537386996,9119,9303
1537387937,9128,9312
1537388910,9113,9297
1537389871,9116,9300
1537390840,9128,9312
1537391782,9124,9308
1537392752,9120,9304
1537393717,9113,9297
1537394673,9109,9293
1537395629,9105,9290
1537396598,9112,9297
1537397546,9118,9303
1537398515,9122,9307
1537399464,9117,9302
1537400430,9120,9306
1537401415,9125,9310
1537402341,9135,9320
1537403308,9139,9325
1537404277,9136,9320
1537405239,9143,9327
1537406183,9148,9332
1537407141,9160,9344
1537408118,9151,9335
1537409078,9145,9330
1537410029,9139,9324
1537410993,9136,9321
1537411957,9127,9311
1537412915,9118,9302
1537413617,9125,9309
1537414351,9127,9311
1537415323,9127,9311
1537416016,9138,9322
1537416749,9132,9316
1537417708,9130,9314
1537418420,9129,9313
1537419149,9132,9316
1537419864,9130,9313
1537420592,9127,9310
1537421551,9122,9305
1537422514,9120,9303
1537423486,9117,9300
1537424423,9120,9303
1537425395,9124,9307
1537426351,9128,9311
1537427325,9124,9307
1537428267,9125,9308
1537429224,9124,9307
1537430190,9127,9310
1537431412,9122,9305
1537432352,9126,9309
1537433314,9128,9311
1537434284,9127,9310
1537435244,9130,9313
1537436180,9136,9319
1537437148,9143,9326
1537438116,9147,9330
1537439073,9139,9323
1537440025,9157,9341
1537440987,9153,9337
1537441952,9155,9339
1537442913,9170,9354
1537443871,9173,9357
1537444876,9177,9361
1537445800,9180,9363
1537446754,9185,9368
1537447713,9192,9375
1537448678,9187,9370
1537449632,9184,9367
1537450596,9182,9365
1537451553,9177,9360
1537452517,9173,9356
1537453469,9175,9358
1537454435,9174,9357
1537455396,9167,9349
1537456352,9219,9406
1537457311,9225,9414
1537458276,9266,9510
1537459237,9269,9517
1537460196,9265,9513
1537461150,9270,9518
1537462117,9272,9520
1537463073,9263,9511
1537464034,9257,9505
1537464748,9265,9513
1537465465,9253,9501
1537466180,9265,9513
1537466916,9256,9503
1537467871,9248,9493
1537468825,9252,9498
1537469791,9257,9503
1537470754,9255,9501
1537471707,9244,9491
1537472669,9243,9491
1537473675,9249,9497
1537474593,9250,9498
1537475551,9253,9502
1537476513,9250,9498
1537477481,9238,9486
1537478433,9239,9487
1537479147,9249,9497
1537479870,9242,9490
1537480579,9237,9485
1537481322,9239,9487
1537482268,9236,9484
1537483226,9228,9476
1537484185,9232,9479
1537485155,9234,9481
1537486112,9237,9485
1537487070,9236,9484
1537488033,9236,9484
1537489003,9219,9467
1537489952,9219,9467
1537490666,9222,9470
1537491386,9225,9473
1537492101,9216,9464
1537492837,9215,9464
1537493795,9207,9456
1537494752,9209,9458
1537495715,9207,9456
1537496677,9198,9447
1537497645,9196,9445
1537498338,9209,9458
1537499070,9205,9454
1537500042,9199,9447
1537500753,9192,9439
1537501471,9203,9450
1537502439,9192,9439
1537503142,9202,9449
1537503867,9199,9447
1537504582,9202,9450
1537505308,9204,9452
1537506035,9199,9446
1537506763,9202,9449
1537507711,9210,9457
1537508666,9217,9465
1537509641,9223,9472
1537510590,9229,9478
1537511541,9235,9485
1537512513,9241,9491
1537513462,9245,9495
1537514419,9250,9500
1537515387,9251,9501
1537516340,9265,9515
1537517319,9261,9511
1537518277,9269,9519
1537519225,9269,9519
1537520197,9276,9525
1537521411,9283,9533
1537522349,9279,9531
1537523320,9278,9530
1537524266,9281,9533
1537525223,9283,9535
1537526182,9276,9527
1537527156,9275,9524
1537528119,9270,9519
1537529076,9261,9509
1537530033,9263,9511
1537530987,9258,9506
1537531955,9256,9504
1537532910,9253,9501
1537533871,9259,9507
1537534836,9266,9514
1537535797,9265,9513
1537536753,9268,9516
1537537711,9267,9515
1537538673,9265,9513
1537539638,9264,9512
1537540596,9263,9512
1537541552,9214,9408
1537542515,9215,9409
1537543469,9213,9407
1537544426,9193,9380
1537545151,9187,9374
1537545867,9189,9376
1537546597,9191,9378
1537547549,9204,9391
1537548279,9207,9394
1537548978,9204,9391
1537549705,9202,9389
1537550669,9226,9414
1537551379,9231,9420
1537552101,9237,9426
1537553076,9244,9432
1537553790,9242,9430
1537554505,9242,9429
1537555220,9256,9443
1537555943,9253,9440
1537556664,9248,9435
1537557387,9254,9442
1537558353,9259,9447
1537559061,9270,9458
1537559780,9280,9469
1537560501,9273,9463
1537561231,9272,9461
1537561944,9282,9472
1537562677,9273,9464
1537563382,9279,9471
1537564120,9274,9466
1537565067,9277,9469
1537566028,9280,9473
1537566985,9272,9465
1537567951,9266,9459
1537568681,9258,9451
1537569384,9262,9455
1537570101,9256,9448
1537570831,9254,9445
1537571799,9246,9437
1537572753,9240,9431
1537573711,9242,9434
1537574673,9246,9438
1537575635,9241,9433
1537576343,9252,9444
1537577068,9242,9434
1537577794,9248,9440
1537578748,9249,9441
1537579460,9242,9434
1537580918,9234,9426
1537581623,9229,9420
1537582350,9215,9406
1537583305,9216,9407
1537584270,9215,9406
1537585252,9216,9407
1537586198,9215,9407
