DateTime,AddedIPs,RemovedIPs
1537264119,4,0
1537265079,4,2
1537266033,7,2
1537266750,3,4
1537267469,5,6
1537268180,2,2
1537268920,2,7
1537270109,5,3
1537271072,4,5
1537272076,2,3
1537272998,6,2
1537273955,5,5
1537274666,3,3
1537275382,2,2
1537276352,7,3
1537277063,11,0
1537278055,7,7
1537278993,3,2
1537279960,4,3
1537280676,7,7
1537281369,2,2
1537282094,3,2
1537282824,3,1
1537283794,6,3
1537284739,6,0
1537285701,3,9
1537286665,2,1
1537288371,11,6
1537289075,2,0
1537290033,4,8
1537291002,10,1
1537291950,6,1
1537292913,9,3
1537293875,2,4
1537294836,5,3
1537295544,5,3
1537296280,2,2
1537296978,2,2
1537297708,3,4
1537298419,3,5
1537299153,7,5
1537299864,5,8
1537300586,3,5
1537301549,2,1
1537302508,6,6
1537303467,3,5
1537304439,4,7
1537305128,0,7
1537305859,4,5
1537306569,4,4
1537307294,1,6
1537308265,8,0
1537309226,4,9
1537309933,4,0
1537310653,2,66
1537311368,4,16
1537312116,1,5
1537313070,4,7
1537314026,3,17
1537314738,3,0
1537315476,7,0
1537316199,4,9
1537317153,1,2
1537317863,3,0
1537318600,6,8
1537319313,5,0
1537320031,5,4
1537320744,11,5
1537321465,10,0
1537322179,6,17
1537322908,6,10
1537323869,7,6
1537324837,10,10
1537325540,10,0
1537326272,8,15
1537327000,7,0
1537327707,3,9
1537328431,6,6
1537329147,5,9
1537329866,8,4
1537330588,5,6
1537331549,3,6
1537332262,4,6
1537332981,3,3
1537333704,1,1
1537334422,1,0
1537335146,5,6
1537335865,2,4
1537336582,2,4
1537337309,3,0
1537338020,3,4
1537338817,2,1
1537339469,3,3
1537340195,2,4
1537340889,3,0
1537341857,3,6
1537342576,1,4
1537343294,6,0
1537344017,4,1
1537344735,4,10
1537345450,2,0
1537346424,2,10
1537347129,1,0
1537347865,3,4
1537348816,4,0
1537349536,5,5
1537350263,2,0
1537350978,5,8
1537351716,2,8
1537352670,4,2
1537353645,5,2
1537354340,4,4
1537355076,4,7
1537356032,4,4
1537356746,6,0
1537357466,3,6
1537358179,4,4
1537358967,2,4
1537359889,3,5
1537360814,8,1
1537361528,3,4
1537362259,3,1
1537363221,6,4
1537363933,7,3
1537364652,6,3
1537365633,3,0
1537366585,5,5
1537367548,3,6
1537368254,3,0
1537368972,4,2
1537369949,3,2
1537370662,3,11
1537371631,11,2
1537372339,3,0
1537373069,3,9
1537373786,1,0
1537374504,2,4
1537375221,7,4
1537375942,3,5
1537376665,6,1
1537377399,4,7
1537378349,11,2
1537379062,4,5
1537379779,7,3
1537380504,3,8
1537381225,5,0
1537381944,5,6
1537382667,3,4
1537383384,2,3
1537384114,4,5
1537385069,2,10
1537386028,3,5
1537386996,4,1
1537387937,4,12
1537388910,6,5
1537389871,8,5
1537390840,3,5
1537391782,5,5
1537392752,3,5
1537393717,5,3
1537394673,5,4
1537395629,6,5
1537396598,3,5
1537397546,6,3
1537398515,4,5
1537399464,2,3
1537400430,4,8
1537401415,5,2
1537402341,10,5
1537403308,4,7
1537404277,8,5
1537405239,4,3
1537406183,9,0
1537407141,12,6
1537408118,10,17
1537409078,7,7
1537410029,8,7
1537410993,7,9
1537411957,8,3
1537412915,2,7
1537413617,7,5
1537414351,3,5
1537415323,8,6
1537416016,13,7
1537416749,4,2
1537417708,6,5
1537418420,6,0
1537419149,6,9
1537419864,2,0
1537420592,5,5
1537421551,7,10
1537422514,3,6
1537423486,1,5
1537424423,8,5
1537425395,7,5
1537426351,6,4
1537427325,3,5
1537428267,3,5
1537429224,2,7
1537430190,2,11
1537431412,3,5
1537432352,8,10
1537433314,2,3
1537434284,4,2
1537435244,5,5
1537436180,5,3
1537437148,5,11
1537438116,5,7
1537439073,1,8
1537440025,9,8
1537440987,2,9
1537441952,4,7
1537442913,9,0
1537443871,7,4
1537444876,2,5
1537445800,3,5
1537446754,6,4
1537447713,9,3
1537448678,4,6
1537449632,2,2
1537450596,2,1
1537451553,0,1
1537452517,7,6
1537453469,6,2
1537454435,5,3
1537455396,3,2
1537456352,50,9
1537457311,5,7
1537458276,56,2
1537459237,2,6
1537460196,4,10
1537461150,4,10
1537462117,1,1
1537463073,3,2
1537464034,3,8
1537464748,4,6
1537465465,5,1
1537466180,3,5
1537466916,3,0
1537467871,1,15
1537468825,3,0
1537469791,7,8
1537470754,4,7
1537471707,4,5
1537472669,4,0
1537473675,7,16
1537474593,8,2
1537475551,7,3
1537476513,8,4
1537477481,1,4
1537478433,8,3
1537479147,5,4
1537479870,2,4
1537480579,6,3
1537481322,5,3
1537482268,5,8
1537483226,2,7
1537484185,6,6
1537485155,4,3
1537486112,6,7
1537487070,9,0
1537488033,7,2
1537489003,4,8
1537489952,6,7
1537490666,2,5
1537491386,4,3
1537492101,5,0
1537492837,7,9
1537493795,8,7
1537494752,6,22
1537495715,12,7
1537496677,5,9
1537497645,4,11
1537498338,7,5
1537499070,2,7
1537500042,4,6
1537500753,0,6
1537501471,4,4
1537502439,4,9
1537503142,7,0
1537503867,1,9
1537504582,2,0
1537505308,5,5
1537506035,3,1
1537506763,1,0
1537507711,9,5
1537508666,7,1
1537509641,4,5
1537510590,7,5
1537511541,11,8
1537512513,5,12
1537513462,9,1
1537514419,8,1
1537515387,4,5
1537516340,5,5
1537517319,2,3
1537518277,6,5
1537519225,5,5
1537520197,11,4
1537521411,6,4
1537522349,3,7
1537523320,4,2
1537524266,3,3
1537525223,1,4
1537526182,3,4
1537527156,7,6
1537528119,5,5
1537529076,7,6
1537530033,7,8
1537530987,4,8
1537531955,1,6
1537532910,4,4
1537533871,6,8
1537534836,8,5
1537535797,3,7
1537536753,4,3
1537537711,7,1
1537538673,2,6
1537539638,6,2
1537540596,4,3
1537541552,2,5
1537542515,2,4
1537543469,3,2
1537544426,7,1
1537545151,1,7
1537545867,3,1
1537546597,4,4
1537547549,5,3
1537548279,3,5
1537548978,2,0
1537549705,7,7
1537550669,16,4
1537551379,4,0
1537552101,6,2
1537553076,6,7
1537553790,4,2
1537554505,6,0
1537555220,5,8
1537555943,2,3
1537556664,3,2
1537557387,5,4
1537558353,7,3
1537559061,5,2
1537559780,11,4
1537560501,3,7
1537561231,8,3
1537561944,3,4
1537562677,3,4
1537563382,8,2
1537564120,3,6
1537565067,6,6
1537566028,7,3
1537566985,5,5
1537567951,3,2
1537568681,2,6
1537569384,1,0
1537570101,4,3
1537570831,6,1
1537571799,3,3
1537572753,3,6
1537573711,7,5
1537574673,6,0
1537575635,3,10
1537576343,5,0
1537577068,4,11
1537577794,5,4
1537578748,6,10
1537579460,8,0
1537580918,8,27
1537581623,5,11
1537582350,7,9
1537583305,5,12
1537584270,2,12
1537585252,9,6
1537586198,6,6
1537587150,3,0
1537587861,9,14
1537588582,6,3
1537589554,4,12
1537590261,3,14
1537590982,3,0
1537591946,5,7
1537592914,4,12
1537593868,3,7
1537594830,7,6
1537595784,4,1
1537596748,5,8
1537597710,1,6
1537598670,6,6
1537599636,4,9
1537600592,3,3
1537601555,2,5
1537602510,8,4
1537603472,3,7
1537604433,18,5
1537605399,5,5
1537606367,4,3
1537607314,4,9
1537608264,6,3
1537609233,2,8
1537609941,2,0
1537610668,2,1
1537611385,5,3
1537612104,7,4
1537613076,4,8
1537614035,3,4
1537614992,3,4
1537615951,4,0
1537616918,3,9
1537617883,6,5
1537618829,6,1
1537619792,3,14
1537620754,5,3
1537621713,4,6
1537622666,1,6
1537623629,7,2
1537624595,7,15
1537625550,5,0
1537626261,6,5
1537626982,4,5
1537627701,2,1
1537628442,3,4
1537629392,3,0
1537630348,5,3
1537631314,3,4
1537632281,3,11
1537633236,2,7
1537634195,5,2
1537635154,7,2
1537636117,2,9
1537637067,4,5
1537638024,5,28
1537638984,3,68
1537639953,5,2
1537640906,2,0
1537641872,3,2
1537642577,3,0
1537643313,3,11
1537644018,1,2
1537644750,4,2
1537645462,0,3
1537646184,6,1
1537646902,2,1
1537647636,7,3
1537648346,4,3
1537649071,2,5
1537649778,9,7
1537650523,3,4
1537651473,1,6
1537652431,3,5
1537653141,0,4
1537653871,1,4
1537654585,3,2
1537655305,8,2
1537656275,4,3
1537657238,5,6
1537658193,3,3
1537659157,0,3
1537660107,5,3
1537661073,6,2
1537662033,3,8
1537663000,4,3
1537663951,7,6
1537664913,4,4
1537665875,6,10
1537666834,16,17
1537667784,10,5
1537668756,11,5
1537669705,0,11
1537670674,3,7
1537671652,5,7
1537672591,2,4
1537673552,6,5
1537674516,6,6
1537675476,5,4
1537676430,4,8
1537677151,2,0
1537677867,3,25
1537678578,4,0
1537679317,3,15
1537680265,1,0
1537681228,4,1
1537682193,4,12
1537683147,5,3
1537683861,2,2
1537684585,3,5
1537685301,4,4
1537686034,2,3
1537686995,4,4
1537687950,5,4
1537688914,5,8
1537689876,5,9
1537690829,10,2
1537691801,9,1
1537692766,4,4
1537693719,6,5
1537694663,3,3
1537695627,4,3
1537696600,5,7
1537697552,3,4
