DateTime,AddedIPs,RemovedIPs
1537264119,44,59
1537265079,62,41
1537266033,37,55
1537266750,60,21
1537267469,29,30
1537268180,23,41
1537268920,40,36
1537270109,46,93
1537271072,85,52
1537272076,47,70
1537272998,68,74
1537273955,75,76
1537274666,76,38
1537275382,36,32
1537276352,48,36
1537277063,44,41
1537278055,45,38
1537278993,52,45
1537279960,42,27
1537280676,41,57
1537281369,54,32
1537282094,35,84
1537282824,72,35
1537283794,43,70
1537284739,86,48
1537285701,60,65
1537286665,76,46
1537288371,66,82
1537289075,59,25
1537290033,41,44
1537291002,52,39
1537291950,45,68
1537292913,52,72
1537293875,81,40
1537294836,49,95
1537295544,96,31
1537296280,34,34
1537296978,30,68
1537297708,62,32
1537298419,30,34
1537299153,44,81
1537299864,66,45
1537300586,62,62
1537301549,47,37
1537302508,50,57
1537303467,46,64
1537304439,56,89
1537305128,50,31
1537305859,55,35
1537306569,27,57
1537307294,50,47
1537308265,61,54
1537309226,48,70
1537309933,55,60
1537310653,55,48
1537311368,54,37
1537312116,40,40
1537313070,38,67
1537314026,51,60
1537314738,49,35
1537315476,42,52
1537316199,47,44
1537317153,54,49
1537317863,40,29
1537318600,41,78
1537319313,75,30
1537320031,31,43
1537320744,49,42
1537321465,58,50
1537322179,44,64
1537322908,70,39
1537323869,38,58
1537324837,56,60
1537325540,48,61
1537326272,53,47
1537327000,58,48
1537327707,30,40
1537328431,41,35
1537329147,42,77
1537329866,64,104
1537330588,95,66
1537331549,81,85
1537332262,78,41
1537332981,37,50
1537333704,46,32
1537334422,31,50
1537335146,41,61
1537335865,65,48
1537336582,48,50
1537337309,50,17
1537338020,21,56
1537338817,48,47
1537339469,50,59
1537340195,63,39
1537340889,37,44
1537341857,44,73
1537342576,74,52
1537343294,61,51
1537344017,48,49
1537344735,51,85
1537345450,75,54
1537346424,59,56
1537347129,42,86
1537347865,84,60
1537348816,85,38
1537349536,37,43
1537350263,33,63
1537350978,72,26
1537351716,28,24
1537352670,42,53
1537353645,60,56
1537354340,50,45
1537355076,44,88
1537356032,96,24
1537356746,23,39
1537357466,43,40
1537358179,52,33
1537358967,33,31
1537359889,30,73
1537360814,79,34
1537361528,39,39
1537362259,31,27
1537363221,35,48
1537363933,39,32
1537364652,26,51
1537365633,51,40
1537366585,37,36
1537367548,44,40
1537368254,32,36
1537368972,34,33
1537369949,49,45
1537370662,28,41
1537371631,51,39
1537372339,43,40
1537373069,37,41
1537373786,54,38
1537374504,34,40
1537375221,50,51
1537375942,49,31
1537376665,48,49
1537377399,42,64
1537378349,88,57
1537379062,39,60
1537379779,71,58
1537380504,50,50
1537381225,58,72
1537381944,70,51
1537382667,43,68
1537383384,61,120
1537384114,98,122
1537385069,159,63
1537386028,78,39
1537386996,53,84
1537387937,58,64
1537388910,55,61
1537389871,64,65
1537390840,73,73
1537391782,63,71
1537392752,41,70
1537393717,64,56
1537394673,41,80
1537395629,77,37
1537396598,46,66
1537397546,58,48
1537398515,46,41
1537399464,45,65
1537400430,74,48
1537401415,51,70
1537402341,75,53
1537403308,45,68
1537404277,66,45
1537405239,49,64
1537406183,61,48
1537407141,47,61
1537408118,69,52
1537409078,32,75
1537410029,80,51
1537410993,47,51
1537411957,39,54
1537412915,50,58
1537413617,58,29
1537414351,30,54
1537415323,55,46
1537416016,39,59
1537416749,53,35
1537417708,31,67
1537418420,58,35
1537419149,42,32
1537419864,32,64
1537420592,65,41
1537421551,46,76
1537422514,75,45
1537423486,46,109
1537424423,120,83
1537425395,90,47
1537426351,48,49
1537427325,55,39
1537428267,42,31
1537429224,39,61
1537430190,55,86
1537431412,86,36
1537432352,50,47
1537433314,51,67
1537434284,76,38
1537435244,35,33
1537436180,38,73
1537437148,71,42
1537438116,37,35
1537439073,46,47
1537440025,68,48
1537440987,49,52
1537441952,49,78
1537442913,86,64
1537443871,54,49
1537444876,41,75
1537445800,70,69
1537446754,66,51
1537447713,55,45
1537448678,47,70
1537449632,71,41
1537450596,31,49
1537451553,51,59
1537452517,55,129
1537453469,135,49
1537454435,55,47
1537455396,53,141
1537456352,88,105
1537457311,99,66
1537458276,168,101
1537459237,75,63
1537460196,55,92
1537461150,88,131
1537462117,101,76
1537463073,109,62
1537464034,65,84
1537464748,74,29
1537465465,33,68
1537466180,75,28
1537466916,34,37
1537467871,30,49
1537468825,59,71
1537469791,68,54
1537470754,49,52
1537471707,44,33
1537472669,43,67
1537473675,72,80
1537474593,91,53
1537475551,41,57
1537476513,41,71
1537477481,52,56
1537478433,70,44
1537479147,44,67
1537479870,63,41
1537480579,34,51
1537481322,54,32
1537482268,36,64
1537483226,44,47
1537484185,40,44
1537485155,39,46
1537486112,50,66
1537487070,60,72
1537488033,76,56
1537489003,52,47
