DateTime,AddedIPs,RemovedIPs
1537033350,4,4
1537034182,5,0
1537035269,3,3
1537036523,6,5
1537038872,8,7
1537040085,6,5
1537042234,8,5
1537043438,5,9
1537044940,2,2
1537046072,3,8
1537046914,1,0
1537048237,3,14
1537049674,2,4
1537050510,6,1
1537052129,2,8
1537053336,1,3
1537054117,1,0
1537054950,1,10
1537056863,5,18
1537058430,5,14
1537059395,0,1
1537061314,5,12
1537062951,0,14
1537064071,1,3
1537065698,3,19
1537067135,2,11
1537068521,1,2
1537071037,1,16
1537072115,7,0
1537074336,11,21
1537076124,3,18
1537078231,3,9
1537079535,2,7
1537080928,0,4
1537082084,3,2
1537083476,4,14
1537084594,2,4
1537085673,4,5
1537086926,3,13
1537088187,4,1
1537089330,3,7
1537090103,2,0
1537090941,1,8
1537092872,4,11
1537094434,5,8
1537095731,1,9
1537096834,2,0
1537097313,3,0
1537098987,17,4
1537100071,10,1
1537101323,12,1
1537103124,11,6
1537103660,2,1
1537105359,11,2
1537106182,10,0
1537107263,9,5
1537108118,5,0
1537109781,10,10
1537111235,7,4
1537112432,3,3
1537113774,7,5
1537114930,10,0
1537116332,9,4
1537117533,7,8
1537119312,10,8
1537120785,11,2
1537121661,7,1
1537122924,5,4
1537124129,2,4
1537126108,6,5
1537127790,1,5
1537128860,2,2
1537130557,4,9
1537131397,2,1
1537132538,5,10
1537134144,7,23
1537134982,5,1
1537136140,8,9
1537137324,7,8
1537138593,7,6
1537139682,2,12
1537140811,0,20
1537143039,5,8
1537145136,2,24
1537145798,4,0
1537147707,4,13
1537150229,11,34
1537150467,3,0
1537151688,9,12
1537153541,20,8
1537154725,13,0
1537155940,10,5
1537157662,7,7
1537158517,3,1
1537160188,5,10
1537161336,4,5
1537162521,2,4
1537164256,6,3
1537165834,5,4
1537166548,2,1
1537168477,9,5
1537169309,5,0
1537170981,2,7
1537172070,2,5
1537173635,3,6
1537174590,7,1
1537175729,5,2
1537177238,6,5
1537178185,3,0
1537180119,6,8
1537180953,4,7
1537182863,6,14
1537183711,1,25
1537184558,2,51
1537186233,7,51
1537188144,3,10
1537189259,1,5
1537190922,3,1
1537191742,1,8
1537193021,1,2
1537194141,1,1
1537195535,4,8
1537197260,9,3
1537198956,6,7
1537199783,1,0
1537201230,5,10
1537202431,5,2
1537204464,18,10
1537205596,9,6
1537206923,13,1
1537208137,11,4
1537209627,19,10
1537211104,25,7
1537212204,16,0
1537213358,15,5
1537215262,27,3
1537216956,31,7
1537217783,11,0
1537218867,16,4
1537219715,9,1
1537221387,19,10
1537222463,17,5
1537223678,5,3
1537224155,5,0
1537225540,7,7
1537226905,1,0
1537227761,1,6
1537228589,2,0
1537229673,3,0
1537230928,0,4
1537232733,7,6
1537234124,6,0
1537235783,2,4
1537236918,4,5
1537238567,5,5
1537239879,2,3
1537241727,4,6
1537242939,4,5
1537244136,4,4
1537245284,3,3
1537246595,8,1
1537247728,5,3
1537249356,1,4
1537250201,3,1
1537251271,1,0
1537252947,2,9
1537253781,2,1
1537254870,1,1
1537256143,0,6
1537257397,0,1
1537258531,1,4
1537259325,2,0
1537260982,3,3
1537262061,3,2
1537263284,2,5
1537264524,4,0
1537265738,1,6
1537266515,1,2
1537268193,6,3
1537269267,6,8
1537270487,0,4
1537271780,3,4
1537273708,6,8
1537275397,8,9
1537276473,7,6
1537278041,13,5
1537279833,7,9
1537281752,4,6
1537283132,9,2
1537284338,4,1
1537286443,6,7
1537287631,7,0
1537288829,6,9
1537290329,1,8
1537291834,5,6
1537292551,6,6
1537294182,15,4
1537295339,4,0
1537296471,2,6
1537296983,1,0
1537298137,2,8
1537298911,3,0
1537301679,11,11
1537303530,1,5
1537304182,1,2
1537306122,7,6
1537306942,6,13
1537308243,18,15
1537308867,13,0
1537310135,9,3
1537311329,11,2
1537312461,9,2
1537313303,5,0
1537314994,7,5
1537316917,17,7
1537318531,10,8
1537319734,12,6
1537321224,14,6
1537322397,13,9
1537323265,13,2
1537324957,27,9
1537325795,15,2
1537326880,17,2
1537327711,7,0
1537328565,3,7
1537330067,9,6
1537331451,7,6
1537333003,7,2
1537334140,7,1
1537335773,14,5
1537336927,7,2
1537338040,5,1
1537339234,4,6
1537339356,0,2
1537340614,9,5
1537341927,18,1
1537343782,33,7
1537345725,5,7
1537347398,2,12
1537348478,3,6
1537349728,3,3
1537351173,0,7
1537352436,1,2
1537353637,1,5
1537354595,1,2
1537355741,1,4
1537357355,3,6
1537358920,3,5
1537359276,1,0
1537360111,2,1
1537361788,4,8
1537362939,2,2
1537364552,3,9
1537367315,2,7
1537369130,3,11
1537370077,1,3
1537370922,3,2
1537372588,2,10
1537373661,2,6
1537374523,3,1
1537375875,3,9
1537377034,2,12
1537378229,4,8
1537380627,11,13
1537382547,9,16
1537383937,11,17
1537385723,14,13
1537386142,2,8
1537387468,0,7
1537388922,4,2
1537390231,3,15
1537391429,0,14
1537392910,1,25
1537394121,2,12
1537395262,2,17
1537397784,2,3
1537398876,3,4
1537400557,4,6
1537401400,1,1
1537402476,4,1
1537403339,4,3
1537404984,6,6
1537406913,1,4
1537408590,3,5
1537409768,3,7
1537411243,2,5
1537412740,10,7
1537414543,3,9
1537415786,0,1
1537416963,0,7
1537418544,8,4
1537419936,5,6
1537420474,1,0
1537422044,10,4
1537423009,4,2
1537424137,8,3
1537424989,2,4
1537426224,17,1
1537427436,19,1
1537428638,17,3
1537429827,14,1
1537431028,20,7
1537432247,16,6
1537433478,21,1
1537434868,17,3
1537438233,35,9
1537440149,27,11
1537441531,10,3
1537442735,10,0
1537443745,5,8
1537445662,13,8
1537447235,7,3
1537448199,2,3
1537449329,9,4
1537450530,4,4
1537452060,11,10
1537453230,2,0
1537453722,2,1
1537455024,6,8
1537456227,7,4
1537457343,5,1
1537458154,3,17
1537459400,6,6
1537460062,7,0
1537461335,5,6
1537462530,6,1
1537463736,9,13
1537464998,4,9
1537466122,7,2
1537467270,6,3
1537468535,5,7
1537469795,9,3
1537470933,5,4
1537471716,2,1
1537472543,6,1
1537474465,9,2
1537475892,3,3
1537476995,2,6
1537478135,0,11
1537478915,2,0
1537480229,1,21
1537481442,4,11
1537483346,3,10
1537484734,0,10
1537486513,4,13
1537486956,1,3
1537488645,6,7
1537489717,1,2
1537491386,5,14
1537492532,6,10
1537494036,11,16
1537495814,3,20
1537496915,0,1
1537497747,0,15
1537499673,5,14
1537500515,4,2
1537502187,10,14
1537504113,16,9
1537505801,10,15
1537506942,5,3
1537508544,9,8
1537509712,1,7
1537510465,1,0
1537512033,7,13
1537513527,3,30
1537514813,2,3
1537515926,3,7
1537517660,1,6
1537519235,3,1
1537520729,5,3
1537521933,4,2
1537523131,5,5
1537524231,2,2
1537525724,5,1
1537527389,1,2
1537529325,8,6
1537530519,4,4
1537532062,6,6
1537533758,16,6
1537534593,10,2
1537535663,12,5
1537536932,9,5
1537538673,15,4
1537539268,8,2
1537540942,19,4
1537542327,20,4
1537542862,7,0
1537544554,20,7
1537545709,11,5
1537546474,14,1
1537548144,20,5
1537550074,20,7
1537550914,5,0
1537552582,22,7
1537553730,14,4
1537554522,3,0
1537556181,16,20
1537557331,7,2
1537558953,19,4
1537560279,14,5
1537561831,12,1
1537563928,10,5
1537564462,3,1
1537565724,8,6
1537566987,9,0
1537568075,7,1
1537569542,6,7
1537571131,9,3
1537571670,4,0
1537572506,4,2
1537575005,6,12
1537576204,2,2
1537577404,2,1
1537579729,6,3
1537580556,4,4
1537581799,2,9
1537584038,2,6
1537585000,6,3
1537586133,2,2
1537587338,2,1
1537588546,7,2
1537589730,2,6
1537590516,2,0
1537592198,5,7
1537594125,2,7
1537596635,8,32
1537597722,4,0
