DateTime,AddedIPs,RemovedIPs
1537019800,1,0
1537020867,1,1
1537022445,3,2
1537023388,2,0
1537024472,2,4
1537026148,2,6
1537028066,2,4
1537029335,5,3
1537029748,0,1
1537031135,0,3
1537032331,1,0
1537033355,2,5
1537035275,1,4
1537036528,2,1
1537036953,3,0
1537038878,3,1
1537040091,1,1
1537042239,5,2
1537043444,1,1
1537044951,1,1
1537046078,0,3
1537046927,2,0
1537048242,1,14
1537049681,0,4
1537050519,1,0
1537052136,3,13
1537053343,3,4
1537054123,1,0
1537054956,2,5
1537056868,3,5
1537058436,7,6
1537059401,5,0
1537061321,5,5
1537062967,1,11
1537064078,0,5
1537065705,1,6
1537067141,5,5
1537068527,21,0
1537071043,4,14
1537074343,7,16
1537074871,1,0
1537076130,3,6
1537078237,7,6
1537079549,1,13
1537080933,8,2
1537082089,5,7
1537083486,6,5
1537084599,2,4
1537085679,1,4
1537086932,4,5
1537088192,2,0
1537089336,4,7
1537090108,3,0
1537090947,1,12
1537092878,7,9
1537094442,8,7
1537095744,2,5
1537096840,3,0
1537098992,3,3
1537100077,4,1
1537101329,5,3
1537103129,3,2
1537105365,5,2
1537106188,1,0
1537107269,1,1
1537108134,1,0
1537109786,2,2
1537110914,2,3
1537112085,2,11
1537113312,1,0
1537114515,2,0
1537115708,0,2
1537118111,0,6
1537119323,8,9
1537120798,2,6
1537122935,1,2
1537124135,2,2
1537126130,3,3
1537127795,4,1
1537128865,6,9
1537130588,4,6
1537132543,1,4
1537134149,3,2
1537134987,1,0
1537136149,1,2
1537137330,3,8
1537138599,0,1
1537139688,2,1
1537140823,6,3
1537143045,7,7
1537145142,8,3
1537145802,3,1
1537147716,8,6
1537150235,13,25
1537150475,1,0
1537151695,4,8
1537153551,9,4
1537154731,3,0
1537155948,7,5
1537157668,12,2
1537158528,4,0
1537160194,4,6
1537161347,5,4
1537162532,2,5
1537164285,6,14
1537165840,3,7
1537166556,2,0
1537168482,9,6
1537169332,4,0
1537170986,1,5
1537172076,3,1
1537173641,4,8
1537174596,2,4
1537175735,2,4
1537177244,8,2
1537178190,1,0
1537180128,7,4
1537180959,6,7
1537182868,15,2
1537183717,44,0
1537184563,13,9
1537186238,7,7
1537188152,3,9
1537189503,2,3
1537191748,2,6
1537193028,0,2
1537194149,4,0
1537195542,3,1
1537197265,10,1
1537198963,1,7
1537199788,6,0
1537200912,2,1
1537202436,1,1
1537204470,1,2
1537205606,2,3
1537206929,4,0
1537208142,0,5
1537209634,2,3
1537211116,3,5
1537212209,1,0
1537213368,0,1
1537215268,7,1
1537216962,2,3
1537217789,2,0
1537218873,4,1
1537219720,6,0
1537221393,5,1
1537222468,0,1
1537223684,1,3
1537224161,1,0
1537225545,6,2
1537227767,1,6
1537228595,6,0
1537229678,0,7
1537230935,3,8
1537232743,6,2
1537234129,3,0
1537235789,7,2
1537236941,11,2
1537238573,5,16
1537239890,9,1
1537241740,15,4
1537242946,11,0
1537244141,6,6
1537245295,6,4
