DateTime,AddedIPs,RemovedIPs
1537038877,32,98
1537040090,64,55
1537042238,57,79
1537043442,13,43
1537044949,70,63
1537046077,77,36
1537046926,40,2
1537048240,137,49
1537049679,16,40
1537050515,22,4
1537052134,36,110
1537053341,14,56
1537054121,16,4
1537054954,29,58
1537056867,22,74
1537058435,56,67
1537059400,14,6
1537061319,92,137
1537062962,102,111
1537064077,72,67
1537065703,42,138
1537067139,31,83
1537068526,31,4
1537071041,27,142
1537072119,17,3
1537074341,93,118
1537074869,14,3
1537076129,21,37
1537078235,23,48
1537079548,44,30
1537080932,37,15
1537082088,21,55
1537083483,46,73
1537084598,31,23
1537085678,24,48
1537086931,31,22
1537088190,37,5
1537089334,14,28
1537090107,14,6
1537090945,24,73
1537092877,79,29
1537094439,96,41
1537095740,34,38
1537096839,25,6
1537097318,5,2
1537098991,31,81
1537100075,34,46
1537101328,17,108
1537103128,20,47
1537103664,12,4
1537105364,83,80
1537106186,44,9
1537107267,37,108
1537108125,9,9
1537109785,41,90
1537110911,35,23
1537112084,42,53
1537113311,48,19
1537114512,16,34
1537115706,21,32
1537116905,50,8
1537118106,29,45
1537119320,28,72
1537120793,66,234
1537121666,21,10
1537122928,18,97
1537124133,18,31
1537126120,44,70
1537127794,33,94
1537128864,26,57
1537130561,52,64
1537131401,18,7
1537132542,42,35
1537134148,146,47
1537134986,23,3
1537136147,19,63
1537137329,24,46
1537138597,27,28
1537139687,37,65
1537140816,33,40
1537143043,47,19
1537145141,30,62
1537145801,44,2
1537147713,61,42
1537150234,101,69
1537150474,7,2
1537151694,40,44
1537153548,73,78
1537154730,29,13
1537155947,49,100
1537157667,67,37
1537158522,26,2
1537160193,52,80
1537161341,44,24
1537162531,46,22
1537164283,88,27
1537165839,58,55
1537166554,20,4
1537168481,84,60
1537169322,35,8
1537170985,71,101
1537172074,46,22
1537173639,84,19
1537174595,62,12
1537175734,41,12
1537177243,59,48
1537178189,42,7
1537180123,116,48
1537180957,33,79
1537182867,140,36
1537183716,152,33
1537184562,219,32
1537186237,144,37
1537188149,89,46
1537190926,121,37
1537191747,30,61
1537193027,62,29
