DateTime,AddedIPs,RemovedIPs
1537043426,33,25
1537044932,37,18
1537046061,31,17
1537046896,16,2
1537048225,35,55
1537049660,28,18
1537050502,21,1
1537052122,31,40
1537053323,26,28
1537054099,20,1
1537054939,19,33
1537056856,38,31
1537058419,71,24
1537059384,29,2
1537061300,55,32
1537062935,24,25
1537064060,22,12
1537065633,29,23
1537067114,62,29
1537068508,21,4
1537071025,43,50
1537072102,21,2
1537074319,48,58
1537074858,16,1
1537076117,17,21
1537078225,57,60
1537079513,24,36
1537080917,28,14
1537082078,23,35
1537083463,16,36
1537084580,10,12
1537085663,32,28
1537086919,24,37
1537088177,30,1
1537089318,11,47
1537090096,15,0
1537090935,19,25
1537092865,33,32
1537094421,33,47
1537095716,19,29
1537096822,24,2
1537097299,7,1
1537098980,25,52
1537100059,21,19
1537101316,27,37
1537103117,28,46
1537103654,10,4
1537105340,45,39
1537106176,17,0
1537107255,21,40
1537108101,15,2
1537109774,44,39
1537110054,3,27
1537111222,36,1
1537112422,21,31
1537113762,15,17
1537114923,19,1
1537116322,18,38
1537117523,23,43
1537119298,50,46
1537120777,28,24
1537121655,20,4
1537122917,31,52
1537124118,20,8
1537126095,53,29
1537127780,39,39
1537128854,18,28
1537130541,49,33
1537131387,14,2
1537132526,29,18
1537134137,40,30
1537134975,19,1
1537136126,19,22
1537137317,18,19
1537138581,22,9
1537139663,13,20
1537140803,18,25
1537143019,26,34
1537145118,23,24
1537145778,8,0
1537147701,18,20
1537150221,39,55
1537150460,3,0
1537151680,20,25
1537153521,21,27
1537154718,17,1
1537155921,22,40
1537157655,13,19
1537158497,3,1
1537160178,27,26
1537161321,13,33
1537162506,24,28
1537164235,21,21
1537165821,20,50
1537166537,11,1
1537168461,16,24
1537169295,17,0
1537170976,36,51
1537172064,21,50
1537173621,60,25
1537174581,23,9
1537175717,25,27
1537177221,30,28
1537178179,26,0
1537180100,33,35
1537180942,18,36
1537182856,18,23
1537183700,9,3
1537184541,8,22
1537186217,21,29
1537188136,32,50
1537189253,21,18
1537190897,35,4
1537191736,11,37
1537193014,13,20
1537194125,20,2
1537195523,15,37
1537197254,29,22
1537198939,19,42
1537199776,20,1
1537200055,3,27
1537201222,12,0
1537202421,11,31
1537204455,49,35
1537205585,9,32
1537206916,21,1
1537208118,34,36
1537209621,15,37
1537210853,21,69
1537212021,21,1
1537213221,15,35
1537213342,4,14
1537214455,31,19
1537215256,18,2
1537216939,27,54
1537217777,5,2
1537218857,38,31
1537219698,11,2
1537221378,31,39
