DateTime,AddedIPs,RemovedIPs
1537257334,14,14
1537258293,398,9
1537259254,12,4
1537260213,11,5
1537261234,13,8
1537262133,10,7
1537263092,12,9
1537264052,14,12
1537265013,14,11
1537265972,7,8
1537266693,6,9
1537267414,6,9
1537268134,6,124
1537268853,5,11
1537270054,21,17
1537271015,9,12
1537272034,9,11
1537272932,9,8
1537273893,6,12
1537274613,4,11
1537275333,8,11
1537276292,14,10
1537277012,5,4
1537277974,8,14
1537278934,14,12
1537279894,5,16
1537281093,7,7
1537281812,7,6
1537282535,4,7
1537283255,9,6
1537284212,4,1
1537285174,14,6
1537286132,10,2122
1537287092,5,5
1537288292,9,14
1537289013,8,9
1537289973,8,15
1537290934,7,14
1537291893,6,9
1537292852,13,8
1537293813,18,12
1537294774,10,15
1537295494,1,8
1537296213,14,7
1537296933,5,13
1537297653,11,10
1537298373,2,7
1537299093,10,12
1537299813,8,16
1537300533,7,20
1537301492,10,17
1537302453,17,21
1537303412,12,6
1537304854,21,28
1537305573,6,18
1537306294,10,14
1537307014,8,16
1537307734,5,22
1537308693,9,9
1537309414,6,14
1537310133,6,9
1537311093,9,14
1537312054,7,18
1537313013,7,12
1537313974,17,15
1537314693,11,8
1537315414,8,13
1537316135,9,13
1537317093,13,8
1537317812,12,10
1537318533,14,13
1537319254,14,6
1537319973,11,13
1537320693,13,11
1537321412,10,8
1537322133,12,8
1537322853,5,9
1537323813,11,10
1537324772,14,21
1537325492,7,7
1537326212,6,8
1537326935,10,13
1537327653,10,10
1537328373,14,11
1537329094,12,11
1537329814,13,8
1537330534,11,8
1537331493,14,13
1537332214,7,16
1537332932,14,5
1537333653,2,6
1537334374,7,9
1537335093,12,2
1537335813,6,8
1537336536,6,7
1537337254,5,11
1537337972,4,7
1537338693,4,8
1537339414,11,5
1537340614,19,19
1537341333,11,3
1537342293,26,9
1537343014,12,10
1537343734,16,13
1537344454,15,12
1537345173,15,10
1537345894,10,13
1537346613,10,7
1537348293,32,22
1537349013,11,8
1537349734,13,11
1537350693,10,13
1537351652,9,14
1537352612,12,10
1537353573,8,6
1537354293,7,5
1537355013,11,8
1537355974,12,13
1537356692,11,12
1537357412,14,6
1537358134,6,8
1537358852,6,4
1537360294,16,12
1537361013,6,8
1537361733,5,6
1537362692,9,13
1537363653,8,7
1537364372,4,7
1537365094,8,10
1537366052,8,5
1537367013,12,10
1537367973,9,8
1537368692,8,3
1537369892,17,11
1537370614,3,4
1537371573,7,12
1537372292,9,6
1537373013,11,13
1537373733,9,4
1537374454,7,5
1537375174,4,10
1537375893,2,8
1537376614,7,8
1537377334,9,7
1537378292,6,8
1537379014,5,8
1537379735,5,12
1537380453,8,10
1537381173,4,9
1537381893,11,8
1537382613,8,13
1537383333,8,6
1537384053,8,11
1537385013,7,6
1537385973,11,14
1537387413,19,13
1537388133,5,10
1537388853,10,13
1537389813,11,14
1537391253,15,22
1537391974,8,6
1537392692,9,11
1537393652,6,5
1537394612,12,4
1537395573,10,9
1537396532,11,8
1537397492,13,5
1537398453,5,11
1537399412,2,10
1537400375,8,13
1537401812,24,16
1537402533,10,8
1537403252,8,5
1537404214,8,13
1537405653,18,21
1537406614,11,17
1537407333,9,9
1537408052,4,13
1537409013,11,9
1537409974,14,10
1537410932,10,7
1537411893,13,14
1537412853,10,13
1537413572,7,10
1537414294,13,11
1537415733,11,21
1537416693,13,19
1537417653,9,10
1537418374,6,10
1537419093,10,7
1537419813,8,9
1537420533,10,5
1537421493,19,14
1537422453,4,8
1537423893,12,12
1537424612,3,2
1537425334,5,5
1537426293,16,15
1537427252,5,15
1537428214,19,23
1537429173,7,22
1537430133,6,21
