DateTime,Entries,UniqueIPs
1537257334,19220,19220
1537258293,19609,19609
1537259254,19617,19617
1537260213,19623,19623
1537261234,19628,19628
1537262133,19631,19631
1537263092,19634,19634
1537264052,19636,19636
1537265013,19639,19639
1537265972,19638,19638
1537266693,19635,19635
1537267414,19632,19632
1537268134,19514,19514
1537268853,19508,19508
1537270054,19512,19512
1537271015,19509,19509
1537272034,19507,19507
1537272932,19508,19508
1537273893,19502,19502
1537274613,19495,19495
1537275333,19492,19492
1537276292,19496,19496
1537277012,19497,19497
1537277974,19491,19491
1537278934,19493,19493
1537279894,19482,19482
1537281093,19482,19482
1537281812,19483,19483
1537282535,19480,19480
1537283255,19483,19483
1537284212,19486,19486
1537285174,19494,19494
1537286132,17382,17382
1537287092,17382,17382
1537288292,17377,17377
1537289013,17376,17376
1537289973,17369,17369
1537290934,17362,17362
1537291893,17359,17359
1537292852,17364,17364
1537293813,17370,17370
1537294774,17365,17365
1537295494,17358,17358
1537296213,17365,17365
1537296933,17357,17357
1537297653,17358,17358
1537298373,17353,17353
1537299093,17351,17351
1537299813,17343,17343
1537300533,17330,17330
1537301492,17323,17323
1537302453,17319,17319
1537303412,17325,17325
1537304854,17318,17318
1537305573,17306,17306
1537306294,17302,17302
1537307014,17294,17294
1537307734,17277,17277
1537308693,17277,17277
1537309414,17269,17269
1537310133,17266,17266
1537311093,17261,17261
1537312054,17250,17250
1537313013,17245,17245
1537313974,17247,17247
1537314693,17250,17250
1537315414,17245,17245
1537316135,17241,17241
1537317093,17246,17246
1537317812,17248,17248
1537318533,17249,17249
1537319254,17257,17257
1537319973,17255,17255
1537320693,17257,17257
1537321412,17259,17259
1537322133,17263,17263
1537322853,17259,17259
1537323813,17260,17260
1537324772,17253,17253
1537325492,17253,17253
1537326212,17251,17251
1537326935,17248,17248
1537327653,17248,17248
1537328373,17251,17251
1537329094,17252,17252
1537329814,17257,17257
1537330534,17260,17260
1537331493,17261,17261
1537332214,17252,17252
1537332932,17261,17261
1537333653,17257,17257
1537334374,17255,17255
1537335093,17265,17265
1537335813,17263,17263
1537336536,17262,17262
1537337254,17256,17256
1537337972,17253,17253
1537338693,17249,17249
1537339414,17255,17255
1537340614,17255,17255
1537341333,17263,17263
1537342293,17280,17280
1537343014,17282,17282
1537343734,17285,17285
1537344454,17288,17288
1537345173,17293,17293
1537345894,17290,17290
1537346613,17293,17293
1537348293,17303,17303
1537349013,17306,17306
1537349734,17308,17308
1537350693,17305,17305
1537351652,17300,17300
1537352612,17302,17302
1537353573,17304,17304
1537354293,17306,17306
1537355013,17309,17309
1537355974,17308,17308
1537356692,17307,17307
1537357412,17315,17315
1537358134,17313,17313
1537358852,17315,17315
1537360294,17319,17319
1537361013,17317,17317
1537361733,17316,17316
1537362692,17312,17312
1537363653,17313,17313
1537364372,17310,17310
1537365094,17308,17308
1537366052,17311,17311
1537367013,17313,17313
1537367973,17314,17314
1537368692,17319,17319
1537369892,17325,17325
1537370614,17324,17324
1537371573,17319,17319
1537372292,17322,17322
1537373013,17320,17320
1537373733,17325,17325
1537374454,17327,17327
1537375174,17321,17321
1537375893,17315,17315
1537376614,17314,17314
1537377334,17316,17316
1537378292,17314,17314
1537379014,17311,17311
1537379735,17304,17304
1537380453,17302,17302
1537381173,17297,17297
1537381893,17300,17300
1537382613,17295,17295
1537383333,17297,17297
1537384053,17294,17294
1537385013,17295,17295
1537385973,17292,17292
1537387413,17298,17298
1537388133,17293,17293
1537388853,17290,17290
1537389813,17287,17287
1537391253,17280,17280
1537391974,17282,17282
1537392692,17280,17280
1537393652,17281,17281
1537394612,17289,17289
1537395573,17290,17290
1537396532,17293,17293
1537397492,17301,17301
1537398453,17295,17295
1537399412,17287,17287
1537400375,17282,17282
1537401812,17290,17290
1537402533,17292,17292
1537403252,17295,17295
1537404214,17290,17290
1537405653,17287,17287
1537406614,17281,17281
1537407333,17281,17281
1537408052,17272,17272
1537409013,17274,17274
1537409974,17278,17278
1537410932,17281,17281
1537411893,17280,17280
1537412853,17277,17277
1537413572,17274,17274
1537414294,17276,17276
1537415733,17266,17266
1537416693,17260,17260
1537417653,17259,17259
1537418374,17255,17255
1537419093,17258,17258
1537419813,17257,17257
1537420533,17262,17262
1537421493,17267,17267
1537422453,17263,17263
1537423893,17263,17263
1537424612,17264,17264
1537425334,17264,17264
1537426293,17265,17265
1537427252,17255,17255
1537428214,17251,17251
1537429173,17236,17236
1537430133,17221,17221
1537431334,17217,17217
1537432294,17210,17210
1537433253,17216,17216
1537434213,17214,17214
1537435654,17215,17215
1537436373,17216,17216
1537437092,17214,17214
1537438053,17220,17220
1537439013,17222,17222
1537439973,17226,17226
1537440934,17230,17230
1537441892,17239,17239
1537442853,17238,17238
1537443813,17233,17233
1537444833,17239,17239
1537445733,17251,17251
1537446693,17257,17257
1537447653,17262,17262
1537448614,17261,17261
1537449573,17266,17266
1537450532,17277,17277
1537451494,17274,17274
1537452454,17273,17273
1537453412,17273,17273
1537454372,17271,17271
1537455334,17267,17267
1537456293,17262,17262
1537457253,17267,17267
1537458213,17263,17263
1537459173,17261,17261
1537460133,17261,17261
1537461092,17261,17261
1537462053,17260,17260
1537463013,17258,17258
1537463973,17261,17261
1537464693,17266,17266
1537465413,17265,17265
1537466133,17263,17263
1537466854,17260,17260
1537467813,17260,17260
1537468773,17260,17260
1537469733,17255,17255
1537470693,17253,17253
1537471653,17258,17258
1537472613,17255,17255
1537473633,17255,17255
1537474533,17257,17257
1537475492,17254,17254
1537476452,17252,17252
1537477413,17252,17252
1537478372,17251,17251
1537479093,17251,17251
1537479813,17249,17249
1537480534,17249,17249
1537481254,17246,17246
1537482214,17244,17244
1537483174,17231,17231
1537484132,17230,17230
1537485092,17235,17235
1537486053,17234,17234
1537487014,17231,17231
1537487972,17225,17225
1537488933,17223,17223
1537489895,17226,17226
1537490612,17226,17226
1537491332,17226,17226
1537492053,17227,17227
1537492772,17231,17231
1537493733,17232,17232
1537494693,17234,17234
1537495654,17232,17232
1537497573,17234,17234
1537498293,17237,17237
1537499012,17236,17236
1537499973,17235,17235
1537500693,17236,17236
1537501412,17236,17236
1537502373,17238,17238
1537503093,17232,17232
1537503813,17228,17228
1537504535,17222,17222
1537505252,17226,17226
1537505973,17215,17215
1537506694,17207,17207
1537507653,17200,17200
1537508614,17199,17199
1537510054,17192,17192
1537511014,17189,17189
1537511973,17189,17189
1537512932,17192,17192
1537513893,17193,17193
1537514853,17186,17186
1537515814,17186,17186
1537516534,17187,17187
1537517252,17189,17189
1537518694,17198,17198
1537519413,17203,17203
1537520613,17207,17207
1537521813,17205,17205
1537522534,17201,17201
1537523733,17203,17203
1537524693,17204,17204
1537525652,17196,17196
1537526614,17197,17197
1537528052,17191,17191
1537529014,17191,17191
1537529973,17192,17192
1537530933,17187,17187
1537531894,17179,17179
1537532854,17175,17175
1537533812,17174,17174
1537534772,17177,17177
1537535733,17182,17182
1537536692,16909,16909
1537537652,16910,16910
1537538613,16918,16918
1537539573,16919,16919
1537540536,16920,16920
1537541493,16926,16926
1537542453,16927,16927
1537543413,16928,16928
1537544374,16933,16933
1537545092,16933,16933
1537545813,16936,16936
1537546533,16934,16934
1537547493,16929,16929
1537548213,16941,16941
1537548932,16946,16946
1537549653,16946,16946
1537550613,16954,16954
1537551332,16950,16950
1537552054,16955,16955
1537553012,16957,16957
1537553732,16954,16954
1537554453,16953,16953
1537555173,16952,16952
1537555892,16953,16953
1537556613,16955,16955
1537557333,16954,16954
1537558294,16945,16945
1537559013,16946,16946
1537559733,16950,16950
1537560453,16952,16952
1537561173,16956,16956
