DateTime,Entries,UniqueIPs
1536521785,16097,16412
1536523713,16100,16415
1536525619,16097,16412
1536527542,16099,16413
1536529467,16107,16423
1536531391,16109,16426
1536533298,16109,16426
1536535227,16109,16426
1536537135,16101,16418
1536539058,16104,16421
1536540983,16115,16432
1536542898,16121,16438
1536544833,16116,16433
1536546746,16118,16435
1536548675,16125,16441
1536550571,16135,16451
1536552493,16134,16450
1536554439,16136,16451
1536556331,16137,16453
1536558274,16140,16456
1536560184,16141,16457
1536562357,16143,16459
1536564267,16143,16460
1536566195,16136,16451
1536568091,16149,16464
1536570053,16145,16460
1536571953,16145,16460
1536573867,16147,16462
1536575772,16128,16442
1536577713,16126,16440
1536579626,16115,16429
1536581560,16104,16418
1536583458,16098,16413
1536585383,16099,16414
1536587310,16097,16412
1536589239,16103,16417
1536591154,16101,16415
1536593070,16108,16422
1536594991,16094,16408
1536596915,16087,16401
1536598849,16075,16389
1536600754,16064,16378
1536602664,16067,16381
1536604601,16058,16373
1536608435,16044,16357
1536610340,16052,16365
1536612257,16057,16370
1536616343,16050,16363
1536618253,16059,16373
1536621152,16058,16372
1536624990,16042,16354
1536626907,16052,16364
1536630735,16031,16341
1536632670,16035,16345
1536634571,16038,16348
1536636513,16035,16346
1536638440,16032,16343
1536640338,16036,16347
1536642275,16032,16342
1536644169,16030,16340
1536646111,16032,16340
1536648009,16033,16341
1536649960,16030,16338
1536651854,16027,16335
1536653793,16034,16342
1536655695,16027,16334
1536657640,16018,16326
1536659535,16013,16321
1536661466,16014,16321
1536663375,16006,16310
1536665306,15994,16298
1536667264,15990,16296
1536669146,15991,16296
1536671061,16003,16308
1536672995,16000,16305
1536674914,16013,16318
1536676828,16017,16322
1536678997,16003,16308
1536680913,15994,16299
1536682829,15993,16298
1536684737,15984,16289
1536686683,15981,16287
1536688590,15972,16278
1536692429,15946,16251
1536694341,15937,16241
1536696275,15941,16245
1536698183,15949,16253
1536700108,15957,16261
1536702016,15958,16263
1536703940,15964,16268
1536705861,15971,16276
1536707781,15969,16275
1536709700,15973,16279
1536711614,15965,16272
1536713559,15964,16270
1536715466,15970,16276
1536717380,15974,16280
1536719291,15974,16280
1536721251,15984,16289
1536723139,16004,16309
1536725084,16000,16305
1536726986,16008,16313
1536728915,16008,16313
1536732754,16008,16313
1536734656,16018,16323
1536736605,16029,16336
1536738505,16053,16361
1536740414,16057,16365
1536742337,16063,16372
1536744274,16066,16375
1536748100,16045,16355
1536750031,16041,16352
1536751947,16032,16344
1536753863,16040,16352
1536759615,16034,16347
1536763470,16003,16315
1536765373,16000,16312
1536767306,16003,16316
1536774978,15957,16269
1536778837,15953,16265
1536782670,15942,16254
1536784572,15952,16265
1536786519,15953,16266
1536788427,15960,16272
1536790343,15951,16263
1536792253,15959,16271
1536794204,15959,16272
1536796094,15974,16288
1536798036,15984,16298
1536799954,15974,16288
1536801882,15984,16298
1536803781,15989,16304
1536805695,16006,16322
1536809555,15994,16310
1536813398,16008,16324
1536817232,15994,16310
1536819150,15996,16312
1536823232,15989,16303
1536825148,15985,16299
1536827067,15996,16310
1536828995,16009,16324
1536831142,15999,16314
1536834968,15992,16307
1536836903,15989,16305
1536839059,15969,16286
1536841002,15980,16297
1536842894,15986,16304
1536848658,15984,16301
1536850576,15998,16315
1536854428,15993,16310
1536856342,16003,16320
1536858273,16008,16325
1536860196,16019,16337
1536864012,16012,16329
1536865935,16009,16326
1536867868,16015,16333
1536869782,16015,16332
1536871951,16006,16323
1536873854,16028,16347
1536875783,16036,16356
1536879670,16021,16341
1536881536,16028,16349
1536887323,16027,16348
1536889229,16034,16355
