DateTime,AddedIPs,RemovedIPs
1537212985,78,89
1537213947,59,72
1537214900,64,74
1537215858,82,78
1537216813,69,84
1537217796,60,86
1537218736,66,10
1537219702,62,102
1537220673,66,78
1537221640,69,78
1537222582,84,70
1537223545,56,92
1537224744,107,83
1537225696,78,79
1537226656,90,97
1537227621,63,98
1537228575,71,70
1537229549,87,88
1537231011,81,93
1537231933,74,105
1537232914,55,104
1537233888,104,88
1537234816,65,89
1537235778,64,83
1537236737,53,86
1537237694,72,77
1537238679,75,78
1537239628,74,100
1537240587,54,88
1537241543,80,60
1537242494,50,78
1537243479,65,85
1537244412,73,75
1537245376,71,76
1537246356,68,83
1537247296,58,68
1537248254,66,83
1537249219,64,76
1537250196,62,38
1537251136,61,85
1537252094,69,103
1537253089,90,95
1537254034,84,68
1537254985,78,71
1537255942,69,58
1537256900,74,68
1537257862,75,71
1537258829,90,85
1537259785,83,86
1537260751,98,71
1537261697,106,72
1537262654,83,72
1537263620,94,69
1537264584,67,69
1537265540,77,85
1537266501,78,61
1537267479,62,79
1537268440,79,87
1537269385,112,85
1537270586,93,175
1537271541,67,9
1537272509,96,183
1537273466,79,20
1537274414,89,95
1537275390,59,69
1537276360,87,167
1537277544,79,75
1537278508,73,90
1537279468,59,71
1537280419,95,81
1537281377,81,96
1537282332,61,73
1537283310,80,69
1537284270,90,75
1537285238,85,97
1537286187,88,8
1537287186,92,176
1537288379,77,85
1537289540,72,67
1537290516,79,85
1537291455,74,9
1537292430,92,128
1537293374,70,8
1537294347,67,76
1537295292,84,77
1537296290,74,184
1537297220,1841,81
1537298179,88,83
1537299161,90,121
1537300104,79,57
1537301068,73,8
1537302023,70,138
1537302992,85,79
1537303949,66,79
1537304909,43,8
1537305867,100,169
1537306813,83,6
1537307791,74,152
1537308756,84,77
1537309694,81,16
1537310663,97,80
1537311641,81,150
1537312586,58,67
1537313546,95,93
1537314492,75,7
1537315486,87,174
1537316654,72,85
1537317612,71,80
1537318607,70,89
1537319535,97,112
1537320495,78,104
1537321472,48,106
1537322419,88,97
1537323379,62,79
1537324348,80,87
1537325294,64,77
1537326280,45,43
1537327210,79,22
1537328172,62,22
1537329155,60,20
1537330095,60,20
1537331057,51,29
1537332020,63,17
1537332988,56,18
1537333934,48,22
1537334895,60,14
1537335874,68,16
1537336824,63,14
1537337781,78,42
1537338826,77,31
1537339928,72,14
1537340898,69,19
1537341866,79,69
1537342814,70,38
1537343781,80,81
1537344743,80,116
1537346053,72,58
1537347139,81,58
1537348358,90,162
1537349298,90,77
1537350272,101,83
1537351218,80,113
1537352195,66,107
1537353659,64,105
1537354578,89,133
1537355540,91,111
1537356495,85,115
1537357476,71,67
1537358450,69,77
1537359421,83,78
1537360353,60,94
1537361295,71,82
1537362267,56,79
1537363231,67,83
1537364172,64,92
1537365145,76,82
1537366115,89,64
1537367066,67,82
1537368025,81,122
1537368980,86,78
1537369958,90,73
1537371140,88,111
1537372093,85,71
1537373078,76,85
1537374011,109,67
1537374974,116,75
1537375951,87,74
1537376899,85,71
1537377859,63,81
1537378815,65,61
1537379787,72,76
1537380735,59,70
1537381694,49,70
1537382676,68,69
1537383620,1907,101
1537384587,69,75
1537385539,76,62
1537386495,76,72
1537387484,81,65
1537388414,50,73
1537389388,82,94
1537390338,56,67
1537391323,84,61
1537392258,64,56
1537393217,73,72
1537394178,64,79
1537395146,78,99
1537396093,83,76
1537397065,126,82
1537398029,102,96
1537398989,80,87
1537399940,115,97
1537400899,86,70
1537401875,96,98
1537402819,115,70
1537403784,91,80
1537404753,87,78
1537405711,77,69
1537406671,101,76
1537407624,71,67
1537408588,83,68
1537409540,80,70
1537410498,69,63
1537411456,88,67
1537412444,78,50
1537413380,90,58
1537414360,83,53
1537415331,104,41
1537416271,95,58
1537417218,79,54
1537418178,93,62
1537419158,73,55
1537420099,95,49
1537421059,55,46
1537422017,59,38
1537422996,78,80
1537423958,53,52
1537424892,87,72
1537425868,89,77
1537426841,81,65
1537427799,86,63
1537428740,82,77
1537429702,89,75
1537430668,78,64
1537431861,82,68
1537432819,103,98
1537433782,72,65
1537434751,90,66
1537435711,95,71
1537436655,95,61
1537437640,89,94
1537438584,82,167
1537439545,73,98
1537440501,82,81
1537441472,78,62
1537442434,78,85
1537443388,103,104
1537444359,71,83
1537445308,93,81
1537446269,95,68
1537447224,67,70
1537448182,78,62
1537449147,103,70
1537450092,89,63
1537451064,99,67
1537452018,83,65
1537452993,80,71
1537453939,86,73
1537454911,78,72
1537455869,69,64
1537456815,64,64
1537457785,76,92
1537458743,65,68
1537459742,79,82
1537460663,74,84
1537461629,85,92
1537462579,80,92
1537463548,76,78
1537464495,65,75
1537465475,81,79
1537466440,74,69
1537467390,86,91
1537468343,89,97
1537469298,70,75
1537470266,1366,129
1537471227,91,82
1537472188,84,86
1537473138,78,65
1537474102,69,91
1537475070,60,89
1537476022,84,75
1537476977,93,88
1537477947,69,100
1537478891,69,78
1537479879,65,102
1537480823,70,65
1537481786,70,60
1537482742,82,74
1537483701,77,61
1537484658,72,89
1537485638,57,82
1537486593,86,90
1537487562,88,82
1537488503,64,7
1537489460,78,87
1537490422,79,77
1537491394,68,64
1537492345,80,73
1537493308,79,70
1537494260,78,58
1537495237,69,50
1537496209,83,68
1537497653,94,144
1537498571,77,44
1537499540,85,76
1537500494,76,70
1537501480,75,77
1537502447,66,57
1537503381,76,60
1537504344,72,87
1537505315,63,59
1537506257,77,83
1537507251,53,71
1537508190,91,60
1537509157,58,51
1537510112,59,79
1537511075,75,86
1537512033,99,112
1537512997,96,100
1537513956,51,8
1537514911,93,149
1537515878,70,80
1537516827,68,3
1537517785,81,89
1537518757,80,163
1537519702,81,5
1537520794,82,115
1537521869,72,69
1537522816,74,74
1537523796,70,88
1537524756,87,76
1537525708,82,88
1537526675,78,74
1537527643,76,63
1537528586,77,81
1537529543,73,67
1537530498,72,72
1537531486,76,78
