DateTime,Entries,UniqueIPs
1537212985,2962,2962
1537213947,2963,2963
1537214900,2983,2983
1537215858,2959,2959
1537216813,2966,2966
1537217796,2963,2963
1537218736,2963,2963
1537219702,2961,2961
1537220673,2967,2967
1537221640,2954,2954
1537222582,2969,2969
1537223545,2987,2987
1537224744,2988,2988
1537225696,2970,2970
1537226656,2978,2978
1537227621,2985,2985
1537228575,2994,2994
1537229549,2968,2968
1537231011,2974,2974
1537231933,2977,2977
1537232914,2971,2971
1537233888,2967,2967
1537234816,2991,2991
1537235778,2975,2975
1537236737,2963,2963
1537237694,2976,2976
1537238679,2975,2975
1537239628,2969,2969
1537240587,2985,2985
1537241543,2980,2980
1537242494,2960,2960
1537243479,2968,2968
1537244412,2950,2950
1537245376,2963,2963
1537246356,2933,2933
1537247296,2913,2913
1537248254,2921,2921
1537249219,2924,2924
1537250196,2927,2927
1537251136,2929,2929
1537252094,2912,2912
1537253089,2900,2900
1537254034,2897,2897
1537254985,2918,2918
1537255942,2899,2899
1537256900,2899,2899
1537257862,2918,2918
1537258829,2908,2908
1537259785,2895,2895
1537260751,2925,2925
1537261697,2958,2958
1537262654,2961,2961
1537263620,2941,2941
1537264584,2939,2939
1537265540,2955,2955
1537266501,2941,2941
1537267479,2978,2978
1537268440,2962,2962
1537269385,2974,2974
1537270586,2984,2984
1537271541,2968,2968
1537272509,2974,2974
1537273466,2991,2991
1537274414,2966,2966
1537275390,2988,2988
1537276360,2966,2966
1537277544,2974,2974
1537278508,2946,2946
1537279468,2961,2961
1537280419,2946,2946
1537281377,2943,2943
1537282332,2931,2931
1537283310,2931,2931
1537284270,2923,2923
1537285238,2926,2926
1537286187,2906,2906
1537287186,2905,2905
1537288379,2908,2908
1537289540,2909,2909
1537290516,2910,2910
1537291455,2926,2926
1537292430,2930,2930
1537293374,2919,2919
1537294347,2916,2916
1537295292,2916,2916
1537296290,2920,2920
1537297220,2978,2978
1537298179,2909,2909
1537299161,2902,2902
1537300104,2928,2928
1537301068,2916,2916
1537302023,2914,2914
1537302992,2923,2923
1537303949,2920,2920
1537304909,2928,2928
1537305867,2922,2922
1537306813,2935,2935
1537307791,2936,2936
1537308756,2914,2914
1537309694,2924,2924
1537310663,2904,2904
1537311641,2910,2910
1537312586,2912,2912
1537313546,2918,2918
1537314492,2908,2908
1537315486,2911,2911
1537316654,2895,2895
1537317612,2904,2904
1537318607,2882,2882
1537319535,2884,2884
1537320495,2883,2883
1537321472,2889,2889
1537322419,2861,2861
1537323379,2860,2860
1537324348,2857,2857
1537325294,2865,2865
1537326280,2850,2850
1537327210,2849,2849
1537328172,2856,2856
1537329155,2850,2850
1537330095,2855,2855
1537331057,2839,2839
1537332020,2855,2855
1537332988,2859,2859
1537333934,2859,2859
1537334895,2840,2840
1537335874,2844,2844
1537336824,2842,2842
1537337781,2826,2826
1537338826,2841,2841
1537339928,2860,2860
1537340898,2848,2848
1537341866,2862,2862
1537342814,2846,2846
1537343781,2867,2867
1537344743,2864,2864
1537346053,2876,2876
1537347139,2864,2864
1537348358,2856,2856
1537349298,2876,2876
1537350272,2891,2891
1537351218,2875,2875
1537352195,2877,2877
1537353659,2889,2889
1537354578,2879,2879
1537355540,2898,2898
1537356495,2887,2887
1537357476,2907,2907
1537358450,2902,2902
1537359421,2921,2921
1537360353,2914,2914
1537361295,2889,2889
1537362267,2920,2920
1537363231,2932,2932
1537364172,2936,2936
1537365145,2914,2914
1537366115,2907,2907
1537367066,2920,2920
1537368025,2933,2933
1537368980,2912,2912
1537369958,2926,2926
1537371140,2944,2944
1537372093,2927,2927
1537373078,2945,2945
1537374011,2955,2955
1537374974,2936,2936
1537375951,2942,2942
1537376899,2949,2949
1537377859,2931,2931
1537378815,2937,2937
1537379787,2931,2931
1537380735,2928,2928
1537381694,2946,2946
1537382676,2930,2930
1537383620,2991,2991
1537384587,2930,2930
1537385539,2919,2919
1537386495,2909,2909
1537387484,2911,2911
1537388414,2914,2914
1537389388,2912,2912
