DateTime,AddedIPs,RemovedIPs
1537212982,15,15
1537213943,10,11
1537214898,7,16
1537215856,21,15
1537216811,9,10
1537217795,14,28
1537218734,10,0
1537219700,1,25
1537220672,15,8
1537221638,23,17
1537222580,21,11
1537223542,9,13
1537224741,13,23
1537225694,10,24
1537226653,18,21
1537227619,10,31
1537228573,16,31
1537229547,11,25
1537231009,22,31
1537231931,12,41
1537232912,9,44
1537233886,24,33
1537234814,12,29
1537235776,16,29
1537236735,8,30
1537237692,19,26
1537238676,21,25
1537239624,20,38
1537240585,9,22
1537241539,18,22
1537242492,8,23
1537243477,8,31
1537244409,15,20
1537245373,21,24
1537246355,16,20
1537247294,7,14
1537248252,26,29
1537249216,7,21
1537250194,14,17
1537251134,15,33
1537252092,14,26
1537253082,7,18
1537254032,18,22
1537254983,27,26
1537255940,10,23
1537256898,13,22
1537257859,20,23
1537258826,11,28
1537259783,29,22
1537260748,29,20
1537261695,20,21
1537262653,29,23
1537263618,17,25
1537264582,15,23
1537265538,16,27
1537266499,7,16
1537267476,16,20
1537268437,9,23
1537269383,25,18
1537270583,17,47
1537271538,11,0
1537272507,14,37
1537273464,11,0
1537274411,11,20
1537275388,14,21
1537276358,12,33
1537277541,22,22
1537278506,4,26
1537279466,7,16
1537280416,18,21
1537281375,12,21
1537282330,7,16
1537283307,18,21
1537284268,10,16
1537285235,6,19
1537286185,12,0
1537287184,15,55
1537288377,13,20
1537289537,14,18
1537290512,15,31
1537291453,19,0
1537292428,3,25
1537293371,11,0
1537294345,12,21
1537295290,10,11
1537296287,8,44
1537297217,10,0
1537298177,17,18
1537299159,11,22
1537300102,18,17
1537301065,8,0
1537302021,14,47
1537302990,9,12
1537303947,10,21
1537304907,10,0
1537305865,14,45
1537306810,14,0
1537307788,12,48
1537308754,8,12
1537309691,14,0
1537310660,11,19
1537311639,18,45
1537312584,14,18
1537313544,15,38
1537314490,16,0
1537315483,8,60
1537316651,24,25
1537317610,11,35
1537318605,11,29
1537319533,14,22
1537320494,13,32
1537321471,10,28
1537322416,14,24
1537323377,14,13
1537324347,12,39
1537325292,18,32
1537326278,8,25
1537327207,14,24
1537328170,14,26
1537329153,12,15
1537330093,8,25
1537331055,11,36
1537332018,12,22
1537332987,17,21
1537333932,6,23
1537334892,13,10
1537335871,7,5
1537336821,17,13
1537337779,24,43
1537338824,20,27
1537339926,28,15
1537340895,13,13
1537341863,22,19
1537342811,15,15
1537343779,20,21
1537344741,15,31
1537346051,17,20
1537347135,22,11
1537348356,25,36
1537349295,12,8
1537350269,22,15
1537351214,23,25
1537352193,18,7
1537353657,13,14
1537354575,10,18
1537355539,29,15
1537356492,18,20
1537357473,10,14
