DateTime,AddedIPs,RemovedIPs
1537212982,15,10
1537213943,10,10
1537214898,7,12
1537215856,21,17
1537216811,9,10
1537217795,14,15
1537218734,10,8
1537219700,1,8
1537220672,15,16
1537221638,23,12
1537222580,21,13
1537223542,9,9
1537224741,13,13
1537225694,10,11
1537226653,18,17
1537227619,10,10
1537228573,16,11
1537229547,11,29
1537231009,22,24
1537231931,12,16
1537232912,9,8
1537233886,24,15
1537234814,12,11
1537235776,16,28
1537236735,8,15
1537237692,19,17
1537238676,21,17
1537239624,20,12
1537240585,9,15
1537241539,18,18
1537242492,8,17
1537243477,8,23
1537244409,15,14
1537245373,21,20
1537246355,16,36
1537247294,7,20
1537248252,26,12
1537249216,7,12
1537250194,14,5
1537251134,15,28
1537252092,14,18
1537253082,7,18
1537254032,18,12
1537254983,27,14
1537255940,10,14
1537256898,13,12
1537257859,20,13
1537258826,11,16
1537259783,29,22
1537260748,29,8
1537261695,20,9
1537262653,29,19
1537263618,17,22
1537264582,15,19
1537265538,16,14
1537266499,7,1
1537267476,16,9
1537268437,9,8
1537269383,25,0
1537270583,17,36
1537271538,11,11
1537272507,14,18
1537273464,11,13
1537274411,11,7
1537275388,14,9
1537276358,12,6
1537277541,22,27
1537278506,4,28
1537279466,7,17
1537280416,18,22
1537281375,12,17
1537282330,7,20
1537283307,18,11
1537284268,10,19
1537285235,6,14
1537286185,12,18
1537287184,15,16
1537288377,13,12
1537289537,14,14
1537290512,15,15
1537291453,19,9
1537292428,3,5
1537293371,11,10
1537294345,12,14
1537295290,10,9
1537296287,8,9
1537297217,10,16
1537298177,17,14
1537299159,11,8
1537300102,18,8
1537301065,8,15
1537302021,14,15
1537302990,9,8
1537303947,10,9
1537304907,10,6
1537305865,14,20
1537306810,14,11
1537307788,12,12
1537308754,8,17
1537309691,14,18
1537310660,11,20
1537311639,18,12
1537312584,14,11
1537313544,15,14
1537314490,16,14
1537315483,8,15
1537316651,24,36
1537317610,11,15
1537318605,11,23
1537319533,14,19
1537320494,13,13
1537321471,10,15
1537322416,14,25
1537323377,14,22
1537324347,12,13
1537325292,18,13
1537326278,8,17
1537327207,14,13
1537328170,14,19
1537329153,12,6
1537330093,8,8
1537331055,11,14
1537332018,12,8
1537332987,17,18
1537333932,6,1
1537334892,13,28
1537335871,7,7
1537336821,17,17
1537337779,24,18
1537338824,20,12
1537339926,28,16
1537340895,13,29
1537341863,22,15
1537342811,15,14
1537343779,20,7
1537344741,15,10
1537346051,17,15
1537347135,22,21
1537348356,25,25
1537349295,12,8
1537350269,22,14
1537351214,23,23
1537352193,18,17
1537353657,13,14
1537354575,10,11
1537355539,29,16
1537356492,18,9
1537357473,10,14
1537358448,22,9
1537359419,13,14
1537360351,6,12
1537361292,13,11
1537362265,15,8
1537363228,17,10
1537364170,7,11
1537365142,12,15
1537366113,5,17
1537367064,29,12
1537368023,9,5
1537368978,11,20
1537369956,24,11
1537371138,8,7
1537372091,19,8
1537373075,8,11
1537374008,16,12
1537374972,7,13
1537375948,15,14
1537376896,15,15
1537377856,12,19
1537378812,9,10
1537379785,8,7
1537380732,5,12
1537381692,7,6
1537382673,8,13
1537383617,13,11
1537384585,3,13
1537385537,12,16
1537386493,9,16
1537387482,14,11
1537388411,4,9
1537389386,7,9
1537390336,9,5
1537391321,11,13
1537392255,11,14
1537393215,1,14
1537394176,14,18
1537395144,2,19
1537396091,15,8
1537397063,15,17
1537398026,16,26
1537398987,11,13
1537399938,15,13
1537400897,18,8
1537401874,13,23
1537402816,39,17
1537403782,18,15
1537404751,30,18
1537405708,27,24
1537406668,28,14
1537407622,29,4
1537408586,23,15
1537409538,23,13
1537410496,13,18
1537411454,16,11
1537412441,16,14
1537413378,22,20
1537414357,20,13
1537415329,34,14
1537416269,18,8
1537417216,22,25
1537418175,18,20
1537419155,19,24
1537420097,21,9
1537421056,14,14
1537422014,17,19
1537422994,21,12
1537423955,11,27
1537424890,20,15
1537425865,16,24
1537426839,17,20
1537427797,15,17
1537428738,25,16
1537429700,19,14
1537430664,16,17
1537431857,14,21
1537432817,12,17
1537433780,15,16
1537434748,15,20
1537435708,22,15
1537436652,19,9
1537437638,18,12
1537438583,13,15
1537439543,4,11
1537440498,18,13
1537441469,13,11
1537442431,17,9
1537443385,12,19
1537444357,13,11
1537445306,18,10
1537446267,14,8
1537447222,12,12
1537448180,23,20
1537449145,14,7
1537450090,10,9
1537451061,11,13
1537452016,32,16
1537452991,19,16
1537453937,20,7
1537454908,14,7
1537455866,18,7
1537456813,7,10
1537457783,12,14
1537458741,12,13
1537459740,12,13
1537460661,15,16
1537461621,8,8
1537462577,18,11
1537463546,17,13
1537464492,9,7
1537465472,17,12
1537466438,15,6
1537467386,18,9
1537468341,15,9
1537469296,10,10
1537470264,16,13
1537471224,10,12
1537472186,10,9
1537473136,8,8
1537474100,11,17
1537475067,12,10
1537476020,15,14
1537476974,9,12
1537477945,11,10
1537478888,11,10
1537479876,9,7
1537480821,6,11
1537481784,12,12
1537482740,13,16
1537483700,26,34
1537484656,10,25
1537485635,11,22
1537486591,22,22
1537487561,23,34
1537488501,26,33
1537489458,32,38
1537490420,37,36
1537491392,26,29
1537492343,37,34
1537493305,31,23
1537494258,24,14
1537495234,31,25
1537496207,32,11
1537497651,31,22
1537498570,20,18
1537499538,19,16
1537500491,16,14
1537501478,24,15
1537502445,25,19
1537503379,24,13
1537504342,8,4
1537505314,14,18
1537506255,16,21
1537507250,14,21
1537508188,12,17
1537509153,10,24
1537510109,21,14
1537511073,18,12
1537512031,27,11
1537512995,29,15
1537513954,15,24
1537514909,18,22
1537515876,15,12
1537516824,25,19
1537517783,33,19
1537518755,21,18
1537519700,21,13
1537520792,16,12
1537521867,21,15
1537522813,20,13
1537523792,19,26
1537524754,18,20
1537525706,24,17
1537526673,20,9
1537527641,16,16
1537528583,14,17
1537529541,17,14
1537530496,10,10
1537531484,20,7
1537532426,23,12
1537533380,19,10
1537534345,15,10
