DateTime,Entries,UniqueIPs
1537212982,1042,1042
1537213943,1042,1042
1537214898,1037,1037
1537215856,1041,1041
1537216811,1040,1040
1537217795,1039,1039
1537218734,1041,1041
1537219700,1034,1034
1537220672,1033,1033
1537221638,1044,1044
1537222580,1052,1052
1537223542,1052,1052
1537224741,1052,1052
1537225694,1051,1051
1537226653,1052,1052
1537227619,1052,1052
1537228573,1057,1057
1537229547,1039,1039
1537231009,1037,1037
1537231931,1033,1033
1537232912,1034,1034
1537233886,1043,1043
1537234814,1044,1044
1537235776,1032,1032
1537236735,1025,1025
1537237692,1027,1027
1537238676,1031,1031
1537239624,1039,1039
1537240585,1033,1033
1537241539,1033,1033
1537242492,1024,1024
1537243477,1009,1009
1537244409,1010,1010
1537245373,1011,1011
1537246355,991,991
1537247294,978,978
1537248252,992,992
1537249216,987,987
1537250194,996,996
1537251134,983,983
1537252092,979,979
1537253082,968,968
1537254032,974,974
1537254983,987,987
1537255940,983,983
1537256898,984,984
1537257859,991,991
1537258826,986,986
1537259783,993,993
1537260748,1014,1014
1537261695,1025,1025
1537262653,1035,1035
1537263618,1030,1030
1537264582,1026,1026
1537265538,1028,1028
1537266499,1034,1034
1537267476,1041,1041
1537268437,1042,1042
1537269383,1067,1067
1537270583,1048,1048
1537271538,1048,1048
1537272507,1044,1044
1537273464,1042,1042
1537274411,1046,1046
1537275388,1051,1051
1537276358,1057,1057
1537277541,1052,1052
1537278506,1028,1028
1537279466,1018,1018
1537280416,1014,1014
1537281375,1009,1009
1537282330,996,996
1537283307,1003,1003
1537284268,994,994
1537285235,986,986
1537286185,980,980
1537287184,979,979
1537288377,980,980
1537289537,980,980
1537290512,980,980
1537291453,990,990
1537292428,988,988
1537293371,989,989
1537294345,987,987
1537295290,988,988
1537296287,987,987
1537297217,981,981
1537298177,984,984
1537299159,987,987
1537300102,997,997
1537301065,990,990
1537302021,989,989
1537302990,990,990
1537303947,991,991
1537304907,995,995
1537305865,989,989
1537306810,992,992
1537307788,992,992
1537308754,983,983
1537309691,979,979
1537310660,970,970
1537311639,976,976
1537312584,979,979
1537313544,980,980
1537314490,982,982
1537315483,975,975
1537316651,963,963
1537317610,959,959
1537318605,947,947
1537319533,942,942
1537320494,942,942
1537321471,937,937
1537322416,926,926
1537323377,918,918
1537324347,917,917
1537325292,922,922
1537326278,913,913
1537327207,914,914
1537328170,909,909
1537329153,915,915
1537330093,915,915
1537331055,912,912
1537332018,916,916
1537332987,915,915
1537333932,920,920
1537334892,905,905
1537335871,905,905
1537336821,905,905
1537337779,911,911
1537338824,919,919
1537339926,931,931
1537340895,915,915
1537341863,922,922
1537342811,923,923
1537343779,936,936
1537344741,941,941
1537346051,943,943
1537347135,944,944
1537348356,944,944
1537349295,948,948
1537350269,956,956
1537351214,956,956
1537352193,957,957
1537353657,956,956
1537354575,955,955
1537355539,968,968
1537356492,977,977
1537357473,973,973
1537358448,986,986
1537359419,985,985
1537360351,979,979
1537361292,981,981
1537362265,988,988
1537363228,995,995
1537364170,991,991
1537365142,988,988
1537366113,976,976
1537367064,993,993
1537368023,997,997
1537368978,988,988
1537369956,1001,1001
1537371138,1002,1002
1537372091,1013,1013
1537373075,1010,1010
1537374008,1014,1014
1537374972,1008,1008
1537375948,1009,1009
1537376896,1009,1009
1537377856,1002,1002
1537378812,1001,1001
1537379785,1002,1002
1537380732,995,995
1537381692,996,996
1537382673,991,991
1537383617,993,993
1537384585,983,983
1537385537,979,979
1537386493,972,972
1537387482,975,975
1537388411,970,970
1537389386,968,968
1537390336,972,972
1537391321,970,970
1537392255,967,967
1537393215,954,954
1537394176,950,950
1537395144,933,933
1537396091,940,940
1537397063,938,938
1537398026,928,928
1537398987,926,926
1537399938,928,928
1537400897,938,938
1537401874,928,928
1537402816,950,950
1537403782,953,953
1537404751,965,965
1537405708,968,968
1537406668,982,982
1537407622,1007,1007
1537408586,1015,1015
1537409538,1025,1025
1537410496,1020,1020
1537411454,1025,1025
1537412441,1027,1027
1537413378,1029,1029
1537414357,1036,1036
1537415329,1056,1056
1537416269,1066,1066
1537417216,1063,1063
1537418175,1061,1061
1537419155,1056,1056
1537420097,1068,1068
1537421056,1068,1068
1537422014,1066,1066
1537422994,1075,1075
1537423955,1059,1059
1537424890,1064,1064
1537425865,1056,1056
1537426839,1053,1053
1537427797,1051,1051
1537428738,1060,1060
1537429700,1065,1065
1537430664,1064,1064
1537431857,1057,1057
1537432817,1052,1052
1537433780,1051,1051
1537434748,1046,1046
1537435708,1053,1053
1537436652,1063,1063
1537437638,1069,1069
1537438583,1067,1067
1537439543,1060,1060
1537440498,1065,1065
1537441469,1067,1067
1537442431,1075,1075
1537443385,1068,1068
1537444357,1070,1070
1537445306,1078,1078
1537446267,1084,1084
1537447222,1084,1084
1537448180,1087,1087
1537449145,1094,1094
1537450090,1095,1095
1537451061,1093,1093
1537452016,1109,1109
1537452991,1112,1112
1537453937,1125,1125
1537454908,1132,1132
1537455866,1143,1143
1537456813,1140,1140
1537457783,1138,1138
1537458741,1137,1137
1537459740,1136,1136
1537460661,1135,1135
1537461621,1135,1135
1537462577,1142,1142
1537463546,1146,1146
1537464492,1148,1148
1537465472,1153,1153
1537466438,1162,1162
1537467386,1171,1171
1537468341,1177,1177
1537469296,1177,1177
1537470264,1180,1180
1537471224,1178,1178
1537472186,1179,1179
1537473136,1179,1179
1537474100,1173,1173
1537475067,1175,1175
1537476020,1176,1176
1537476974,1173,1173
1537477945,1174,1174
1537478888,1175,1175
1537479876,1177,1177
1537480821,1172,1172
1537481784,1172,1172
1537482740,1169,1169
1537483700,1161,1161
1537484656,1146,1146
1537485635,1135,1135
1537486591,1135,1135
1537487561,1124,1124
1537488501,1117,1117
1537489458,1111,1111
1537490420,1112,1112
1537491392,1109,1109
1537492343,1112,1112
1537493305,1120,1120
1537494258,1130,1130
1537495234,1136,1136
1537496207,1157,1157
1537497651,1166,1166
1537498570,1168,1168
1537499538,1171,1171
1537500491,1173,1173
1537501478,1182,1182
1537502445,1188,1188
1537503379,1199,1199
1537504342,1203,1203
1537505314,1199,1199
1537506255,1194,1194
1537507250,1187,1187
1537508188,1182,1182
1537509153,1168,1168
1537510109,1175,1175
1537511073,1181,1181
1537512031,1197,1197
1537512995,1211,1211
1537513954,1202,1202
1537514909,1198,1198
1537515876,1201,1201
1537516824,1207,1207
1537517783,1221,1221
1537518755,1224,1224
1537519700,1232,1232
1537520792,1236,1236
1537521867,1242,1242
1537522813,1249,1249
1537523792,1242,1242
1537524754,1240,1240
1537525706,1247,1247
1537526673,1258,1258
1537527641,1258,1258
1537528583,1255,1255
1537529541,1258,1258
1537530496,1258,1258
1537531484,1271,1271
1537532426,1282,1282
1537533380,1291,1291
1537534345,1296,1296
1537535306,1297,1297
1537536257,1307,1307
1537537220,1319,1319
1537538190,1321,1321
1537539149,1324,1324
1537540092,1314,1314
1537541055,1318,1318
1537542032,1320,1320
1537542989,1326,1326
1537543940,1330,1330
