DateTime,Entries,UniqueIPs
1537212985,37204,38984
1537213947,37162,38940
1537214900,37166,38944
1537215858,37225,38995
1537216813,37188,38966
1537217796,37157,38951
1537218736,37362,39172
1537219702,37163,38973
1537220673,37148,38956
1537221640,37154,38977
1537222582,37379,39222
1537223545,37116,38979
1537224744,37101,38976
1537225696,37095,38976
1537226656,37084,38963
1537227621,37065,38965
1537228575,37289,39210
1537229549,37079,39017
1537231011,36995,38939
1537231933,37015,39002
1537232914,36936,38951
1537233888,36944,38962
1537234816,36930,38954
1537235778,36881,38914
1537236737,36781,38828
1537237694,36739,38803
1537238679,36759,38825
1537239628,36742,38812
1537240587,36710,38822
1537241543,36721,38842
1537242494,36658,38793
1537243479,36628,38784
1537244412,36582,38743
1537245376,36554,38723
1537246356,36520,38691
1537247296,36478,38667
1537248254,36430,38616
1537249219,36402,38601
1537250196,36366,38581
1537251136,36361,38571
1537252094,36316,38525
1537253089,36332,38540
1537254034,36337,38544
1537254985,36366,38578
1537255942,36335,38538
1537256900,36331,38542
1537257862,36374,38589
1537258829,36396,38621
1537259785,36376,38594
1537260751,36352,38557
1537261697,36384,38588
1537262654,36388,38586
1537263620,36456,38637
1537264584,36399,38587
1537265540,36397,38587
1537266501,36392,38584
1537267479,36414,38607
1537268440,36641,38846
1537269385,36688,38895
1537270586,36691,38890
1537271541,36674,38874
1537272509,36717,38909
1537273466,36745,38942
1537274414,36754,38954
1537275390,36802,38991
1537276360,36820,38992
1537277544,36838,39015
1537278508,36844,39017
1537279468,36835,39014
1537280419,36860,39063
1537281377,36842,39042
1537282332,36873,39058
1537283310,36859,39044
1537284270,36891,39083
1537285238,36946,39133
1537286187,36995,39175
1537287186,36999,39185
1537288379,37019,39212
1537289540,37061,39255
1537290516,37066,39262
1537291455,37074,39275
1537292430,37128,39330
1537293374,37143,39352
1537294347,37169,39381
1537295292,37168,39377
1537296290,37189,39386
1537297220,38853,41062
1537298179,37138,39336
1537299161,37184,39385
1537300104,37184,39374
1537301068,37241,39432
1537302023,37250,39453
1537302992,37290,39496
1537303949,37307,39508
1537304909,37314,39516
1537305867,37331,39530
1537306813,37303,39514
1537307791,37286,39492
1537308756,37320,39523
1537309694,37349,39542
1537310663,37418,39608
1537311641,37407,39593
1537312586,37382,39556
1537313546,37418,39574
1537314492,37406,39563
1537315486,37368,39520
1537316654,37372,39516
1537317612,37398,39542
1537318607,37373,39514
1537319535,37449,39583
1537320495,37460,39575
1537321472,37480,39590
1537322419,37518,39614
1537323379,37531,39607
1537324348,37538,39615
1537325294,37511,39608
1537326280,37473,39560
1537327210,37519,39621
1537328172,37510,39611
1537329155,37471,39570
1537330095,37501,39581
1537331057,37497,39575
1537332020,37532,39600
1537332988,37513,39606
1537333934,37550,39649
1537334895,37526,39634
1537335874,37543,39655
1537336824,37505,39628
1537337781,37489,39618
1537338826,37520,39665
1537339928,37476,39627
1537340898,37488,39644
1537341866,37520,39661
1537342814,37534,39688
1537343781,37506,39665
1537344743,37473,39637
1537346053,37470,39640
1537347139,37498,39676
1537348358,37308,39474
1537349298,37305,39475
1537350272,37314,39481
1537351218,37359,39542
1537352195,37251,39436
1537353659,37231,39425
1537354578,37235,39428
1537355540,37260,39457
1537356495,37283,39478
1537357476,37291,39490
1537358450,37286,39495
1537359421,37273,39486
1537360353,37234,39460
1537361295,37219,39453
1537362267,37178,39417
1537363231,37116,39359
1537364172,37081,39314
1537365145,37047,39285
1537366115,36982,39204
1537367066,36880,39096
1537368025,36822,39035
1537368980,36720,38941
1537369958,36648,38867
1537371140,36658,38868
1537372093,36633,38843
1537373078,36623,38834
1537374011,36664,38863
1537374974,36643,38829
1537375951,36634,38815
1537376899,36821,39030
1537377859,36578,38769
1537378815,36787,39006
1537379787,36582,38780
1537380735,36781,38996
1537381694,36503,38705
1537382676,36683,38914
1537383620,36491,38686
1537384587,36540,38731
1537385539,36793,38992
1537386495,36785,38985
1537387484,36563,38747
1537388414,36761,38963
1537389388,36797,39007
1537390338,36781,39007
1537391323,36660,38897
1537392258,36875,39132
1537393217,36657,38912
1537394178,36846,39114
1537395146,36929,39198
1537396093,36961,39235
1537397065,36769,39030
1537398029,36993,39272
1537398989,36794,39059
1537399940,37073,39367
1537400899,36857,39115
1537401875,37086,39354
1537402819,37127,39396
1537403784,37166,39427
1537404753,37205,39450
1537405711,37217,39453
1537406671,37238,39461
1537407624,37269,39476
1537408588,37292,39492
1537409540,37282,39474
1537410498,37278,39463
1537411456,37309,39483
1537412444,37312,39470
1537413380,37350,39487
1537414360,37382,39490
1537415331,37388,39465
1537416271,37437,39505
1537417218,37447,39487
1537418178,37507,39515
1537419158,37530,39502
1537420099,37609,39527
1537421059,37594,39481
1537422017,37588,39451
1537422996,37594,39424
1537423958,37571,39357
1537424892,37590,39365
1537425868,37505,39250
1537426841,37471,39211
1537427799,37466,39207
1537428740,37513,39265
1537429702,37523,39274
1537430668,37504,39239
1537431861,37481,39223
1537432819,37469,39220
1537433782,37445,39190
1537434751,37680,39431
1537435711,37447,39175
1537436655,37655,39409
1537437640,37407,39136
1537438584,37669,39414
1537439545,37669,39412
1537440501,37670,39404
1537441472,37664,39400
1537442434,37615,39325
1537443388,37621,39328
1537444359,37615,39325
1537445308,37629,39338
1537446269,37661,39377
1537447224,37681,39395
1537448182,37679,39406
1537449147,37684,39396
1537450092,37719,39403
1537451064,37712,39389
1537452018,37717,39389
1537452993,37702,39378
1537453939,37685,39352
1537454911,37653,39315
1537455869,37597,39238
1537456815,37480,39119
1537457785,37391,39035
1537458743,37304,38935
1537459742,37273,38892
1537460663,37230,38846
1537461629,37171,38782
1537462579,37185,38781
1537463548,37207,38794
1537464495,37224,38799
1537465475,37246,38810
1537466440,37234,38792
1537467390,37251,38810
1537468343,37306,38875
1537469298,37299,38863
1537470266,36793,38367
1537471227,36800,38383
1537472188,36783,38377
1537473138,36764,38349
1537474102,36764,38356
1537475070,36773,38359
1537476022,36736,38323
1537476977,36781,38353
1537477947,36773,38344
1537478891,36716,38278
1537479879,36704,38254
1537480823,36776,38328
1537481786,36800,38361
1537482742,36827,38389
1537483701,36845,38418
1537484658,36834,38420
1537485638,36887,38512
1537486593,36820,38495
1537487562,36828,38507
1537488503,36827,38518
1537489460,36865,38570
1537490422,36852,38581
1537491394,36833,38607
1537492345,36865,38658
1537493308,36854,38653
1537494260,36819,38630
1537495237,36786,38610
1537496209,36804,38638
1537497653,36809,38664
1537498571,36823,38688
1537499540,36826,38707
1537500494,36776,38670
1537501480,36785,38685
1537502447,36782,38704
1537503381,36744,38686
1537504344,36717,38662
1537505315,36680,38625
1537506257,36671,38629
1537507251,36647,38599
1537508190,36676,38650
1537509157,36719,38695
1537510112,36697,38683
1537511075,36698,38685
1537512033,36716,38699
1537512997,36732,38714
1537513956,36712,38701
1537514911,36658,38655
1537515878,36570,38560
1537516827,36533,38535
1537517785,36482,38491
1537518757,36485,38491
1537519702,36420,38422
1537520794,36369,38375
1537521869,36322,38325
1537522816,36256,38273
1537523796,36224,38234
1537524756,36244,38249
1537525708,36217,38214
1537526675,36168,38156
1537527643,36142,38130
1537528586,36167,38142
1537529543,36185,38159
1537530498,36127,38116
1537531486,36101,38082
1537532428,36041,38029
1537533382,36037,38021
1537534348,35995,37979
1537535308,35982,37966
1537536261,35948,37930
1537537222,35943,37921
1537538192,35977,37956
1537539152,36016,38002
1537540094,36064,38050
1537541058,36045,38029
1537542034,36091,38077
1537542991,36140,38130
1537543942,36177,38160
1537545158,35968,37937
1537546127,36217,38199
1537547060,36244,38233
1537548011,36230,38212
1537548985,36053,38019
1537549931,36262,38252
1537551148,36056,38042
1537552108,36059,38051
1537553085,36121,38102
1537554011,36138,38116
1537554977,36120,38089
1537555952,36181,38153
1537556896,35498,37465
1537557854,35535,37506
1537558815,35469,37443
1537559789,35458,37427
1537560741,35423,37388
1537561689,35418,37385
1537562684,35414,37367
1537563624,35421,37379
1537564583,35416,37378
1537565536,35457,37423
1537566499,35461,37434
1537567485,35408,37365
1537568412,35433,37369
1537569393,35484,37410
1537570341,35504,37435
1537571298,35511,37444
1537572265,35535,37454
1537573216,35566,37473
1537574183,35517,37422
1537575141,35510,37404
1537576092,35548,37428
1537577076,35550,37432
1537578264,35553,37426
1537579213,35556,37421
1537580925,35415,37253
1537581858,35434,37277
1537582830,35479,37319
1537583790,35708,37566
1537584738,35716,37550
1537585697,35722,37551
1537586657,35743,37555
1537587618,35795,37592
1537588591,35794,37584
1537589561,35833,37625
1537590496,35861,37639
1537591456,35875,37631
1537592430,35889,37638
1537593377,35866,37598
1537594355,35919,37635
1537595297,35906,37604
1537596267,35905,37589
1537597223,35905,37576
1537598182,35934,37602
1537599138,35868,37520
1537600109,35848,37496
1537601056,35789,37426
1537602028,35763,37375
1537602975,35716,37313
1537603948,35724,37314
1537604893,35728,37332
1537605864,35649,37237
1537606840,35642,37222
1537607786,35602,37191
1537608740,35591,37170
1537609697,35522,37089
1537610677,35471,37040
1537611616,35379,36945
1537612582,35323,36890
1537613543,35285,36852
1537614497,35220,36775
1537615464,35180,36712
1537616413,35099,36644
1537617377,35081,36606
1537618361,35096,36616
1537619293,35094,36608
1537620257,35034,36546
1537621236,35051,36559
1537622188,35046,36550
1537623140,35034,36531
1537624094,35030,36514
1537625067,35008,36483
1537626011,35020,36492
1537626990,34982,36450
1537627951,34991,36455
1537628899,34939,36394
1537629857,34913,36361
1537630816,34930,36376
1537631775,34904,36336
1537632774,34898,36325
1537633694,34891,36322
1537634657,34886,36310
1537635638,34897,36315
1537636583,34874,36284
1537637544,35080,36504
1537638503,35053,36478
1537639464,34995,36424
1537640416,34731,36133
1537641381,34735,36134
1537642336,34936,36349
1537643321,34161,35558
1537644255,34128,35523
1537645215,34342,35760
1537646192,34133,35536
1537647135,34326,35748
1537648092,34120,35526
1537649078,34313,35736
1537650023,34236,35663
1537650992,33971,35387
1537651947,33924,35342
1537652894,34095,35531
1537653878,34060,35494
1537654812,33824,35245
1537655776,34025,35465
1537656739,33984,35414
1537657700,33699,35123
1537658654,33894,35337
1537659617,33655,35093
1537660578,33847,35297
1537661540,33842,35291
1537662497,33633,35058
1537663462,33815,35260
1537664436,33809,35255
1537665390,33804,35251
1537666342,33804,35250
1537667295,33964,35425
1537668262,33736,35188
