DateTime,AddedIPs,RemovedIPs
1537212985,48,26
1537213947,35,31
1537214900,43,33
1537215858,49,38
1537216813,38,28
1537217796,30,22
1537218736,40,32
1537219702,35,34
1537220673,35,43
1537221640,39,28
1537222582,57,35
1537223545,28,36
1537224744,56,30
1537225696,42,20
1537226656,53,26
1537227621,29,32
1537228575,34,23
1537229549,47,32
1537231011,42,57
1537231933,52,0
1537232914,36,38
1537233888,58,43
1537234816,31,26
1537235778,38,32
1537236737,37,24
1537237694,45,30
1537238679,44,24
1537239628,42,20
1537240587,24,22
1537241543,38,26
1537242494,30,19
1537243479,31,27
1537244412,42,29
1537245376,32,29
1537246356,39,37
1537247296,39,29
1537248254,36,32
1537249219,38,18
1537250196,47,18
1537251136,29,28
1537252094,37,41
1537253089,59,15
1537254034,47,28
1537254985,47,44
1537255942,42,24
1537256900,60,37
1537257862,52,23
1537258829,59,27
1537259785,45,22
1537260751,63,27
1537261697,57,33
1537262654,37,20
1537263620,38,17
1537264584,43,30
1537265540,38,31
1537266501,41,27
1537267479,38,27
1537268440,52,24
1537269385,53,33
1537270586,33,29
1537271541,48,31
1537272509,50,27
1537273466,47,32
1537274414,52,38
1537275390,35,29
1537276360,56,36
1537277544,45,60
1537278508,55,22
1537279468,32,0
1537280419,57,68
1537281377,45,42
1537282332,33,0
1537283310,44,62
1537284270,58,39
1537285238,39,39
1537286187,53,0
1537287186,52,40
1537288379,51,61
1537289540,51,37
1537290516,59,34
1537291455,52,38
1537292430,36,38
1537293374,50,43
1537294347,45,28
1537295292,38,36
1537296290,36,36
1537297220,155,41
1537298179,58,0
1537299161,63,74
1537300104,42,38
1537301068,39,45
1537302023,44,46
1537302992,41,36
1537303949,42,53
1537304909,28,44
1537305867,46,54
1537306813,60,54
1537307791,45,0
1537308756,46,108
1537309694,50,0
1537310663,54,47
1537311641,38,114
1537312586,40,56
1537313546,39,0
1537314492,48,37
1537315486,46,0
1537316654,45,87
1537317612,40,0
1537318607,37,99
1537319535,41,0
1537320495,45,98
1537321472,26,0
1537322419,44,55
1537323379,39,32
1537324348,42,90
1537325294,42,0
1537326280,31,98
1537327210,56,0
1537328172,30,106
1537329155,33,52
1537330095,37,0
1537331057,36,49
1537332020,37,85
1537332988,34,44
1537333934,33,35
1537334895,37,51
1537335874,43,43
1537336824,40,0
1537337781,67,106
1537338826,51,47
1537339928,44,71
1537340898,49,48
1537341866,36,45
1537342814,49,59
1537343781,34,55
1537344743,42,51
1537346053,44,48
1537347139,58,37
1537348358,51,118
1537349298,44,42
1537350272,60,0
1537351218,53,47
1537352195,41,115
1537353659,29,42
1537354578,52,50
1537355540,57,56
1537356495,51,72
1537357476,45,68
1537358450,45,77
1537359421,46,55
1537360353,46,75
1537361295,52,43
1537362267,40,68
1537363231,44,72
1537364172,43,59
