DateTime,AddedIPs,RemovedIPs
1537392243,9,146
1537393203,88,0
1537393323,37,0
1537393924,30,0
1537394559,40,2
1537395124,23,0
1537395723,16,0
1537396082,0,97
1537396324,21,0
1537397044,90,0
1537398458,21,0
1537398964,22,61
1537399323,22,0
1537399923,15,0
1537400524,10,0
1537400884,132,115
1537401124,8,0
1537401758,11,1
1537402323,37,0
1537402924,34,0
1537403523,18,0
1537404124,5,0
1537404724,63,16
1537405324,35,0
1537405682,16,88
1537405923,33,0
1537406642,89,9
1537407123,22,0
1537407723,14,0
1537408323,15,0
1537408963,3,1
1537409524,9,72
1537410123,46,0
1537410484,81,3
1537410723,24,0
1537411444,21,50
1537411841,0,1
1537412618,27,2
1537413123,3,0
1537413723,7,1
1537414923,30,1
1537415524,68,0
1537416242,199,19
1537416724,12,0
1537417207,17,82
1537417324,43,0
1537418523,18,0
1537419123,14,0
1537419723,34,0
1537421042,16,171
1537422002,88,0
1537422124,6,1
1537422723,12,0
1537423358,27,2
1537423923,82,14
1537424523,23,0
1537425123,20,1
1537425724,25,0
1537426324,13,0
1537426958,20,3
1537427524,26,0
1537428124,31,0
1537428724,0,102
1537429323,29,0
1537429682,77,0
1537429923,20,0
1537430562,20,0
1537431123,13,0
1537431723,15,0
1537432323,5,0
1537432923,24,1
1537433763,103,24
1537434160,33,0
1537434724,20,0
1537435324,17,0
1537435683,0,113
1537435924,33,0
1537436523,18,1
1537437613,69,0
1537437761,17,0
1537438324,21,0
1537438923,36,0
1537439524,62,17
1537440123,25,0
1537440723,33,0
1537441443,29,65
1537441924,5,0
1537442523,23,1
1537443363,127,94
1537443723,12,0
1537444323,23,0
1537444958,21,0
1537445525,19,0
1537446123,15,0
1537447202,75,15
1537447324,13,1
1537447923,14,0
1537448618,16,1
1537449124,0,94
1537449724,22,0
1537450324,16,1
1537451044,91,0
1537452161,45,1
1537452723,15,0
1537453324,18,0
1537454523,27,0
1537454884,67,58
1537455124,57,1
1537455759,19,1
1537456804,0,61
1537456924,27,0
1537457527,42,0
1537458124,17,0
1537458723,122,0
1537459362,35,1
1537459924,31,0
1537460524,28,0
1537461723,60,1
1537462563,115,139
1537462961,12,0
1537463523,2,0
1537464123,12,0
1537465324,14,3
1537465923,1,0
1537466415,86,0
1537466560,15,0
1537467123,28,0
1537467723,10,0
1537468322,91,22
1537468924,41,0
1537469523,35,0
1537470242,10,123
1537470725,9,0
1537471324,15,0
1537472162,113,0
1537472524,41,0
1537473123,33,0
1537473724,54,0
1537474083,0,83
1537474325,43,0
1537474923,26,1
1537475523,1,0
1537476004,89,0
1537476123,28,0
1537476724,32,0
1537477422,22,0
1537477923,27,0
1537478524,19,3
1537479123,9,0
1537479844,74,93
1537480963,15,0
1537481524,9,0
1537482123,21,0
1537482724,2,0
1537483323,20,0
1537483682,58,20
1537483924,37,0
1537484562,30,7
1537485123,11,0
1537485723,26,0
1537486563,37,193
1537486925,34,0
1537487524,118,0
1537488124,7,0
1537488220,0,3
1537488725,42,0
1537489324,7,0
1537490523,24,0
1537491362,73,16
1537491760,32,1
1537492324,4,0
1537492923,14,0
1537493523,16,0
1537494244,9,150
1537494723,1,0
1537495219,60,0
1537495420,11,9
1537495924,36,0
1537496525,27,0
1537497604,98,9
1537498085,16,145
1537498962,26,0
1537499524,2,0
1537500124,11,0
1537501444,111,0
1537501923,25,0
1537502620,13,2
1537503123,4,0
1537503362,0,76
1537503724,13,0
1537504923,33,0
1537505282,140,0
1537505525,11,0
1537506161,46,2
1537506726,18,0
1537507684,9,176
1537507923,14,0
