DateTime,Entries,UniqueIPs
1537392243,493809,524996
1537393203,493893,525084
1537393323,493926,525121
1537393924,493954,525151
1537394559,493991,525189
1537395124,494013,525212
1537395723,494028,525228
1537396082,493931,525131
1537396324,493951,525152
1537397044,494038,525242
1537398458,494058,525263
1537398964,494019,525224
1537399323,494040,525246
1537399923,494054,525261
1537400524,494064,525271
1537400884,494080,525288
1537401124,494088,525296
1537401758,494094,525306
1537402323,494125,525343
1537402924,494158,525377
1537403523,494175,525395
1537404124,494179,525400
1537404724,494222,525447
1537405324,494257,525482
1537405682,494185,525410
1537405923,494217,525443
1537406642,494292,525523
1537407123,494310,525545
1537407723,494323,525559
1537408323,494337,525574
1537408963,494339,525576
1537409524,494276,525513
1537410123,494322,525559
1537410484,494390,525637
1537410723,494414,525661
1537411444,494383,525632
1537411841,494382,525631
1537412618,494406,525656
1537413123,494409,525659
1537413723,494414,525665
1537414923,494440,525694
1537415524,494503,525762
1537416242,494679,525942
1537416724,494691,525954
1537417207,494626,525889
1537417324,494665,525932
1537418523,494676,525950
1537419123,494689,525964
1537419723,494719,525998
1537421042,494564,525843
1537422002,494652,525931
1537422124,494658,525936
1537422723,494668,525948
1537423358,494692,525973
1537423923,494760,526041
1537424523,494783,526064
1537425123,494801,526083
1537425724,494824,526108
1537426324,494836,526121
1537426958,494854,526138
1537427524,494878,526164
1537428124,494908,526195
1537428724,494806,526093
1537429323,494833,526122
1537429682,494910,526199
1537429923,494926,526219
1537430562,494946,526239
1537431123,494953,526252
1537431723,494963,526267
1537432323,494968,526272
1537432923,494989,526295
1537433763,495060,526374
1537434160,495090,526407
1537434724,495108,526427
1537435324,495125,526444
1537435683,495012,526331
1537435924,495043,526364
1537436523,495060,526381
1537437613,495128,526450
1537437761,495144,526467
1537438324,495161,526488
1537438923,495194,526524
1537439524,495239,526569
1537440123,495262,526594
1537440723,495292,526627
1537441443,495256,526591
1537441924,495261,526596
1537442523,495283,526618
1537443363,495316,526651
1537443723,495324,526663
1537444323,495346,526686
1537444958,495366,526707
1537445525,495384,526726
1537446123,495398,526741
1537447202,495458,526801
1537447324,495469,526813
1537447923,495482,526827
1537448618,495497,526842
1537449124,495404,526748
1537449724,495424,526770
1537450324,495438,526785
1537451044,495529,526876
1537452161,495569,526920
1537452723,495584,526935
1537453324,495600,526953
1537454523,495626,526980
1537454884,495635,526989
1537455124,495689,527045
1537455759,495707,527063
1537456804,495646,527002
1537456924,495670,527029
1537457527,495709,527071
1537458124,495724,527088
1537458723,495845,527210
1537459362,495876,527244
1537459924,495905,527275
1537460524,495929,527303
1537461723,495986,527362
1537462563,495958,527338
1537462961,495969,527350
1537463523,495971,527352
1537464123,495983,527364
1537465324,495993,527375
1537465923,495994,527376
1537466415,496080,527462
1537466560,496094,527477
1537467123,496122,527505
1537467723,496131,527515
1537468322,496200,527584
1537468924,496239,527625
1537469523,496273,527660
1537470242,496160,527547
1537470725,496168,527556
1537471324,496182,527571
1537472162,496293,527684
1537472524,496332,527725
1537473123,496364,527758
1537473724,496413,527812
1537474083,496330,527729
1537474325,496367,527772
1537474923,496393,527797
1537475523,496394,527798
1537476004,496483,527887
1537476123,496509,527915
1537476724,496539,527947
1537477422,496560,527969
1537477923,496585,527996
1537478524,496600,528012
1537479123,496609,528021
1537479844,496589,528002
1537480963,496604,528017
1537481524,496613,528026
1537482123,496633,528047
1537482724,496635,528049
1537483323,496655,528069
1537483682,496693,528107
1537483924,496728,528144
1537484562,496752,528167
1537485123,496762,528178
1537485723,496786,528204
1537486563,496628,528048
1537486925,496660,528082
1537487524,496773,528200
1537488124,496776,528207
1537488220,496773,528204
1537488725,496813,528246
1537489324,496820,528253
1537490523,496842,528277
1537491362,496896,528334
1537491760,496924,528365
1537492324,496927,528369
1537492923,496938,528383
1537493523,496953,528399
1537494244,496812,528258
1537494723,496813,528259
1537495219,496873,528319
1537495420,496881,528321
1537495924,496916,528357
1537496525,496942,528384
1537497604,497030,528473
1537498085,496901,528344
1537498962,496927,528370
1537499524,496929,528372
1537500124,496940,528383
1537501444,497046,528494
1537501923,497067,528519
1537502620,497077,528530
1537503123,497081,528534
1537503362,497005,528458
1537503724,497018,528471
1537504923,497048,528504
1537505282,497188,528644
