DateTime,AddedIPs,RemovedIPs
1537367973,8,8
1537368692,7,2
1537369482,8,0
1537369892,17,11
1537370614,2,4
1537371628,15,25
1537372292,7,6
1537373013,7,11
1537373578,12,12
1537373733,9,3
1537374454,6,5
1537375174,4,10
1537375456,23,12
1537375893,2,7
1537376614,6,8
1537377396,15,9
1537378292,5,6
1537379014,4,8
1537379559,15,9
1537379735,4,10
1537380453,7,8
1537381173,2,9
1537381453,21,9
1537381893,11,7
1537382167,3,0
1537382613,5,12
1537383333,8,4
1537384053,8,11
1537385013,7,5
1537385973,10,13
1537387413,17,11
1537388133,5,9
1537388853,9,12
1537389383,5,28
1537389813,9,13
1537391318,17,25
1537391974,7,6
1537392692,6,11
1537393213,5,9
1537393652,6,3
1537394612,11,3
1537395142,5,4
1537395573,10,9
1537396532,10,7
1537397060,18,6
1537397492,7,5
1537398453,5,10
1537398984,8,6
1537399412,1,7
1537400375,8,13
1537400895,16,13
1537401426,19,10
1537401812,19,16
1537402533,10,8
1537402814,18,0
1537403252,8,4
1537404214,5,12
1537404748,8,8
1537405653,16,20
1537406666,21,27
1537407333,8,8
1537408052,4,12
1537408584,6,0
1537409013,10,7
1537409974,12,9
1537410494,15,9
1537410932,9,5
1537411949,33,14
1537412439,17,11
1537412853,9,11
1537413572,6,9
1537414348,22,10
1537415733,8,18
1537416267,21,11
1537416693,13,17
1537417653,8,10
1537418172,7,15
1537418374,5,9
1537419093,9,6
1537419659,3,0
1537419813,7,8
1537420095,6,13
1537420533,9,4
1537421493,18,14
1537422012,23,14
1537422453,4,7
1537423893,425,30
1537424612,2,2
1537425334,2,5
1537425862,21,25
1537426293,14,13
1537426832,13,0
1537427252,5,14
1537427794,12,0
1537428214,16,20
1537429173,2,18
1537429697,19,21
1537430133,6,20
1537431334,14,18
1537431855,22,4
1537432294,6,16
1537433253,16,10
1537433777,7,11
1537434213,13,17
1537435706,38,41
1537436373,10,8
1537437092,7,8
1537437635,6,0
1537438053,16,10
1537439013,17,13
1537439541,12,2
1537439973,11,9
1537440934,19,14
1537441466,11,7
1537441892,12,4
1537442853,13,15
1537443382,11,4
1537443813,12,12
1537444833,15,9
1537445304,8,20
1537445733,14,6
1537446693,16,7
1537447653,11,7
1537448614,9,10
1537449142,11,20
1537449573,12,7
1537450532,14,7
1537451058,23,21
1537451494,6,5
1537452454,5,6
1537453412,7,7
1537454372,5,9
1537454906,29,10
1537455334,5,9
1537456343,20,13
1537457253,9,2
1537458213,2,5
1537458738,11,9
1537459173,11,12
1537460133,11,10
1537460659,31,11
1537461092,8,7
1537462053,6,7
1537463013,6,8
1537463973,13,10
1537464693,7,2
1537465413,3,3
1537466133,1,5
1537466436,8,41
1537466854,5,6
1537467813,8,8
1537468338,4,4
1537468773,4,8
1537469733,5,8
1537470262,14,20
1537470693,7,10
1537471213,7,1
1537471653,11,6
1537472184,8,0
1537472613,11,13
1537473633,8,10
1537474098,9,17
1537474533,3,4
1537475492,3,6
1537476018,13,0
1537476452,5,5
1537477413,8,10
1537477943,11,5
1537478372,7,6
1537479093,5,2
1537479813,4,5
1537480534,5,5
1537481254,6,9
1537481782,6,15
1537482214,6,9
1537483174,2,12
1537483698,21,9
1537484132,5,5
1537485092,6,3
1537485633,8,11
1537486106,12,5
1537487014,5,8
1537487558,3,5
1537487972,2,6
1537488500,14,117
1537488933,6,8
1537489455,15,5
1537489895,8,6
1537490612,7,5
1537491383,11,11
1537492053,7,5
1537492772,6,2
1537493303,12,4
1537493733,6,6
1537494693,7,5
1537495232,7,7
1537495654,6,7
1537497641,22,16
1537498293,7,6
1537499012,4,5
1537499536,17,13
1537499973,4,4
1537500742,25,7
1537501468,23,13
1537502373,3,1
1537503093,1,7
1537503377,10,11
1537503813,2,6
1537504535,4,10
1537505305,17,14
1537505973,3,14
1537506694,2,9
1537507247,17,1
1537507653,5,13
1537508614,6,6
1537509151,9,13
1537510054,29,42
1537511071,22,20
1537511973,7,6
1537512992,19,25
1537513893,8,8
1537514907,20,24
1537515372,11,0
1537515814,4,3
1537516534,11,10
1537516821,10,17
1537517252,11,9
1537518753,32,19
1537519413,9,6
1537520676,16,24
1537521813,6,12
1537522582,10,15
1537523733,9,10
1537524751,16,22
1537525652,7,16
1537526671,19,13
1537528052,10,17
1537529014,10,10
1537530022,16,10
1537530494,9,9
1537530933,10,14
1537531894,5,10
1537532423,6,2
1537532854,5,10
1537533812,12,13
1537534341,5,13
1537534772,13,10
1537535733,12,8
1537536692,9,232
1537537652,7,5
1537538186,6,18
1537538613,12,3
1537539573,9,5
1537540090,23,13
1537540536,6,5
1537541493,8,3
1537542030,11,6
1537542453,5,3
1537543413,10,9
1537544374,10,5
1537544648,8,0
1537545092,4,4
1537545864,24,21
1537546533,6,6
1537547493,4,11
1537547782,14,10
1537548213,12,1
1537548932,7,3
1537549702,12,21
1537550613,18,10
1537551143,1,0
1537551332,2,6
1537551856,23,6
1537552054,5,2
1537553012,5,2
1537553787,6,16
1537554453,4,5
1537555173,4,2
1537555689,9,10
1537555892,4,4
1537556613,7,5
1537557333,3,2
1537557606,9,2
1537558294,4,12
1537559013,6,6
1537559288,12,4
1537559532,8,9
1537559733,6,2
1537560453,7,5
1537561173,9,5
1537561450,12,6
1537561892,3,1
1537562613,5,2
1537563379,12,21
1537564053,3,6
1537565013,9,6
1537565972,6,5
1537566932,10,5
1537567481,6,10
1537567892,11,4
1537568612,7,3
1537569381,20,2
1537570053,6,2
1537570774,8,5
1537571294,11,11
1537571732,9,6
1537572693,7,5
1537573654,14,5
1537574174,4,1
1537574612,7,1
1537575137,9,4
1537575644,9,6
1537576293,7,4
1537577065,30,14
1537577735,5,4
1537578692,15,7
1537578975,9,7
1537579412,8,3
1537580914,20,18
1537581573,3,8
1537582293,4,5
1537582825,4,6
1537583253,2,10
1537584214,7,5
1537584734,9,8
1537585174,10,6
1537586133,4,1
1537586653,23,3
1537587092,8,8
1537587814,7,3
1537588579,12,2
1537589052,4,0
1537589493,11,3
1537590213,6,3
1537590933,4,7
1537591893,13,6
1537592425,7,5
1537592853,7,8
1537593813,13,11
1537594351,12,5
1537594824,13,10
1537595732,35,679
1537596262,6,11
1537596693,8,10
1537597653,9,5
1537598178,8,2
1537598613,8,7
1537599574,15,13
1537600104,8,17
1537600533,12,10
1537601494,8,5
1537602453,5,6
1537603413,11,16
1537603685,8,1
1537603944,8,22
1537604373,9,12
1537605332,10,8
1537605859,8,3
1537606293,17,15
1537607252,10,9
1537607782,4,8
1537608212,8,6
1537609176,10,10
1537609693,10,10
1537609893,4,4
1537610612,5,4
1537611333,7,4
1537611612,6,6
1537612052,5,1
1537613013,9,7
1537613539,13,5
1537613973,7,9
1537614932,8,6
1537615456,17,1
1537615893,8,7
1537616854,10,10
1537617373,20,8
1537618349,12,10
1537619013,5,97
1537619289,18,6
1537619733,2,3
1537620693,4,9
1537621232,7,12
1537621653,7,13
1537622613,9,10
1537623573,4,4
1537624532,2,4
1537625063,4,13
1537625492,4,9
1537626213,6,3
1537626979,10,10
1537627653,5,5
1537628374,4,4
1537628895,6,13
1537629334,7,5
1537630293,11,11
1537630811,10,7
1537631252,9,6
1537632214,3,8
1537632770,15,7
1537633222,22,8
1537634133,7,5
1537634653,14,15
1537635093,5,9
1537636053,8,7
1537637014,9,14
1537637973,5,7
1537638497,29,6
1537638933,4,5
1537639893,5,4
1537640411,8,7
1537640852,3,6
1537641814,6,5
1537642331,9,7
1537642533,4,4
1537643253,8,0
1537643973,3,3
1537644251,19,7
1537644692,9,6
1537645413,7,5
1537646181,15,15
1537646853,8,8
1537647572,5,7
1537647847,7,0
1537648089,16,8
1537648293,3,3
1537649014,1,6
1537649733,8,5
1537650019,2,8
1537650453,1,5
1537651413,10,7
1537652372,8,6
1537653092,4,8
1537653868,3,27
1537654532,6,6
1537655254,3,8
1537655772,3,6
1537656214,2,10
1537657173,7,10
1537657696,6,18
1537658135,13,6
1537659094,16,8
1537659613,7,15
1537660054,14,14
1537661013,20,8
1537661535,12,4
1537661973,17,9
1537662489,10,0
1537663014,9,6
1537663457,12,14
1537663894,9,11
1537664853,2,14
1537665386,14,4
1537665813,12,8
1537666773,10,7
1537667733,8,4
1537668694,11,4
1537669259,21,17
1537669654,7,3
1537670613,8,6
1537671572,10,9
1537672533,6,4
1537673492,7,6
1537674458,5,5
1537675413,8,8
1537676372,10,9
1537676894,17,35
1537677141,21,3
1537677813,4,5
1537678533,11,9
1537678817,21,10
1537679253,3,6
1537680212,7,9
1537680740,20,0
1537681173,4,10
1537682187,681,381
1537683093,4,8
1537683814,5,7
1537684582,28,30
1537685252,4,6
1537685973,3,10
1537686494,19,6
1537686933,6,8
1537687892,7,7
1537688411,12,21
1537688853,10,4
1537689813,4,7
1537690338,11,12
1537690772,8,11
1537691787,5,10
1537692256,9,8
1537692693,7,11
1537693655,6,8
1537694188,9,12
1537694613,9,7
1537695573,10,9
1537696096,3,0
1537696533,6,3
1537697493,7,9
1537698013,12,10
