DateTime,AddedIPs,RemovedIPs
1537342323,42,0
1537342923,32,0
1537344124,22,0
1537344724,11,0
1537345323,50,0
1537345924,37,1
1537346524,37,0
1537347725,8,0
1537348324,23,0
1537348923,28,0
1537350123,38,0
1537350723,25,0
1537351323,14,0
1537351924,27,1
1537352523,48,0
1537353123,52,0
1537353724,51,0
1537354323,47,0
1537354924,11,0
1537356123,9,0
1537357323,20,0
1537358525,22,0
1537359124,21,0
1537359723,14,0
1537360923,12,0
1537362124,25,0
1537362724,13,0
1537363323,12,0
1537364523,48,0
1537365724,9,0
1537366324,12,0
1537366923,35,0
1537367523,54,0
1537368124,17,0
1537368641,1,0
1537368723,13,0
1537369323,22,1
1537369924,9,0
1537370524,38,0
1537371724,21,0
1537372324,27,0
1537372924,31,0
1537374123,24,0
1537374723,5,0
1537375324,21,0
1537376524,33,0
1537377123,20,1
1537377724,14,0
1537378924,7,1
1537379523,40,0
1537380123,40,0
1537381323,36,0
1537382523,19,0
1537383123,33,0
1537383723,13,0
1537384324,20,0
1537384924,43,0
1537386123,24,0
1537386724,27,0
1537387324,27,0
1537387923,1,0
1537388523,34,0
1537389123,19,0
1537389723,21,0
1537390323,1,0
1537390923,29,0
1537391523,6,0
1537392123,9,0
1537393323,37,0
1537393924,30,0
1537394523,40,1
1537395124,23,0
1537395723,16,0
1537396324,21,0
1537396923,29,0
1537398125,16,0
1537398724,22,0
1537399323,22,0
1537399923,15,0
1537400524,10,0
1537401124,8,0
1537401725,11,0
1537402323,37,0
1537402924,34,0
1537403523,18,0
1537404124,5,0
1537404724,11,0
1537405324,35,0
1537405923,33,0
1537406525,34,0
1537407123,22,0
1537407723,14,0
1537408323,15,0
1537408923,3,0
1537410123,46,0
1537410723,24,0
1537411323,18,0
1537411841,0,1
1537412523,27,0
1537413123,3,0
1537413723,7,1
1537414923,30,1
1537415524,68,0
1537416123,61,0
1537416724,12,0
1537417324,43,0
1537418523,18,0
1537419123,14,0
1537419723,34,0
1537420923,16,0
1537422124,6,1
1537422723,12,0
1537423323,27,0
1537424523,23,0
1537425123,20,1
1537425724,25,0
1537426324,13,0
1537426923,20,2
1537427524,26,0
1537428124,31,0
1537429323,29,0
1537429923,20,0
1537430523,20,0
1537431123,13,0
1537431723,15,0
1537432323,5,0
1537432923,24,1
1537433523,29,0
1537434123,33,0
1537434724,20,0
1537435324,17,0
1537435924,33,0
1537436523,18,1
1537437723,16,0
1537438324,21,0
1537438923,36,0
1537440123,25,0
1537440723,33,0
1537441324,12,0
1537441924,5,0
1537442523,23,1
1537443123,15,0
1537443723,12,0
1537444323,23,0
1537444924,21,0
1537445525,19,0
1537446123,15,0
1537447324,13,1
1537447923,14,0
1537448523,16,0
1537449724,22,0
1537450324,16,1
1537450923,18,0
1537452124,45,0
1537452723,15,0
1537453324,18,0
1537454523,27,0
1537455124,57,1
1537455723,19,0
1537456924,27,0
1537457527,42,0
1537458124,17,0
1537458723,32,0
1537459325,35,0
1537459924,31,0
1537460524,28,0
1537461723,60,1
1537462323,48,0
1537462924,12,0
1537463523,2,0
1537464123,12,0
1537465324,14,3
1537465923,1,0
1537466524,14,0
1537467123,28,0
1537467723,10,0
1537468924,41,0
1537469523,35,0
1537470124,10,0
1537470725,9,0
1537471324,15,0
1537471923,22,0
1537472524,41,0
1537473123,33,0
1537473724,54,0
1537474325,43,0
1537474923,26,1
1537475523,1,0
1537476123,28,0
1537476724,32,0
1537477324,22,0
1537477923,27,0
1537478524,19,3
1537479123,9,0
1537479723,11,0
1537480923,15,0
1537481524,9,0
1537482123,21,0
1537482724,2,0
1537483323,20,0
1537483924,37,0
1537484524,30,0
1537485123,11,0
1537485723,26,0
1537486324,37,0
1537486925,34,0
1537487524,35,0
1537488124,7,0
1537488725,42,0
1537489324,7,0
1537490523,24,0
1537491125,27,0
1537491723,32,0
1537492324,4,0
1537492923,14,0
1537493523,16,0
1537494123,9,0
1537494723,1,0
1537495323,11,0
1537495924,36,0
1537496525,27,0
1537497123,30,0
1537497723,16,0
1537498924,26,0
1537499524,2,0
1537500124,11,0
1537501324,32,0
1537501923,25,0
1537502523,13,0
1537503123,4,0
1537503724,13,0
1537504923,33,0
1537505525,11,0
1537506123,46,1
1537506726,18,0
1537507323,9,1
1537507923,14,0
1537508524,34,0
1537509123,31,0
1537509723,43,0
1537510324,12,0
1537510923,32,0
1537511524,32,0
1537512123,41,0
1537512724,12,0
1537513323,33,0
1537513925,7,0
1537514524,12,0
1537515124,38,0
1537515723,24,0
1537516924,27,0
1537517523,14,0
1537518125,56,0
1537519324,10,0
1537519924,29,0
1537520523,32,0
1537521124,39,2
1537521725,17,0
1537522923,22,0
1537523524,30,1
1537524124,32,1
1537524723,24,0
1537525323,18,0
1537525924,21,0
1537526523,7,0
1537527723,30,0
1537528324,31,0
1537528923,28,0
1537529523,13,0
1537530123,9,0
1537530723,19,0
1537531325,16,0
1537532523,28,1
1537533123,21,0
1537533724,12,1
1537534923,21,0
1537535523,12,0
1537536125,23,0
1537536723,1,0
1537537324,11,0
1537537924,28,0
1537538524,20,0
1537539124,31,0
1537539724,24,0
1537540323,31,0
1537540924,5,0
1537541523,16,0
1537542125,27,0
1537542723,18,0
1537543323,19,0
1537543923,1,0
1537544523,10,1
1537545123,17,0
1537545724,16,0
1537546325,8,0
1537546924,23,0
1537547524,31,0
1537548123,10,1
1537548723,1,0
1537549324,11,0
1537550524,27,0
1537551723,36,1
1537552323,10,1
1537552924,7,0
1537554123,28,0
1537555324,19,0
1537555923,1,0
1537556524,27,0
1537557724,13,0
1537558924,23,0
1537560123,11,0
1537560723,2,0
1537561323,32,1
1537562524,31,1
1537563124,2,0
1537563725,32,0
1537564323,20,0
1537564924,19,0
1537566123,6,1
1537566723,21,0
1537567323,21,0
1537568524,31,0
1537569723,31,0
1537570324,8,0
1537570924,27,0
1537571523,16,0
1537572124,26,0
1537572724,10,0
1537573324,22,0
1537573924,28,0
1537574527,4,0
1537575723,13,0
1537576923,10,0
1537577523,21,0
1537578124,28,0
1537579323,38,0
1537579923,11,1
1537580523,12,0
1537581124,7,0
1537581724,29,0
1537582324,18,0
1537582924,36,0
1537583523,37,0
1537584123,34,0
1537585323,29,0
1537585924,9,0
1537586523,19,0
1537587723,10,0
1537588325,22,0
1537588923,11,0
1537589525,14,0
1537590123,5,0
1537591323,33,0
1537592523,16,1
1537593723,16,0
1537594324,15,0
1537594924,40,0
1537595524,36,0
1537596123,16,0
1537597323,11,0
1537597924,24,0
1537598523,21,0
1537599123,2,0
1537599723,39,1
1537600324,42,0
1537600923,20,0
1537601523,11,0
1537602123,20,0
1537602723,22,0
1537603323,24,0
1537603923,21,0
1537604524,17,0
1537605123,6,0
1537605723,9,1
1537606323,29,0
1537606924,30,0
1537607524,23,0
1537608123,8,0
1537609324,14,1
1537610523,25,1
1537611723,20,0
1537612323,21,0
1537612924,5,2
1537614124,35,2
1537614724,16,0
1537615324,12,0
1537615924,5,0
1537616523,26,1
1537617123,12,1
1537617724,32,0
1537618924,16,1
1537619524,9,0
1537620123,7,1
1537621324,34,0
1537621924,33,0
1537622524,27,0
1537623723,11,0
1537624323,8,0
1537624923,47,0
1537626123,46,0
1537626723,46,0
1537627323,113,1
1537628524,40,0
1537629124,9,0
1537629725,22,0
1537630924,31,0
1537631523,56,0
1537632123,14,0
1537633324,45,0
1537633923,32,0
1537634524,35,0
1537635725,57,0
1537636324,18,0
1537636924,33,0
1537637524,29,0
1537638124,29,1
1537638723,26,0
1537639323,15,0
1537639924,19,1
1537640524,38,0
1537641124,17,0
1537641723,20,0
1537642924,46,1
1537643524,44,0
1537644124,30,0
1537645323,70,1
1537646524,140,0
1537647123,43,0
1537647723,40,0
1537648924,52,0
1537650123,22,0
1537650724,12,0
1537651323,31,0
1537651923,24,1
1537652524,25,0
1537653724,27,1
1537654923,40,0
1537656123,60,0
1537656723,50,0
1537657324,56,0
1537657923,35,0
1537658523,63,0
1537659123,16,0
1537659724,30,0
1537660323,36,0
1537660925,20,1
1537662124,38,0
1537662724,30,0
1537663324,28,0
1537664523,33,1
1537665123,33,0
1537665723,54,0
1537666323,23,0
1537666924,28,0
1537667524,32,0
1537668124,19,0
1537668723,31,0
1537669323,22,2
1537669923,20,0
1537670524,25,0
1537671723,46,0
1537672323,22,0
1537672923,25,0
1537673523,21,0
1537674124,20,0
1537674723,59,0
1537675323,39,0
1537675923,31,0
1537676523,22,1
1537677123,16,0
1537677723,15,0
1537678924,11,0
1537679524,26,0
1537680123,17,0
1537680724,28,0
1537681323,33,0
1537681923,22,1
1537682523,19,0
1537683723,23,0
1537684325,11,0
1537684923,64,1
1537685524,50,0
1537686123,38,0
1537686724,34,0
1537687324,35,0
1537688524,40,0
1537689123,26,0
1537689724,40,0
1537690323,1,0
1537690923,20,0
1537691523,9,1
1537692124,33,1
1537692723,20,0
1537693324,24,0
1537693924,18,0
1537694524,30,0
1537695123,12,0
1537695723,22,0
1537696323,10,0
1537696924,21,0
