DateTime,Entries,UniqueIPs
1537245004,17553,17553
1537245905,17289,17289
1537246804,17028,17028
1537247704,16810,16810
1537248604,16523,16523
1537249504,16310,16310
1537250405,16200,16200
1537251304,16281,16281
1537252205,16089,16089
1537253104,15864,15864
1537254004,15751,15751
1537254905,15603,15603
1537255805,15447,15447
1537256706,15130,15130
1537257606,14903,14903
1537258505,14769,14769
1537259405,14618,14618
1537260306,14442,14442
1537261205,14245,14245
1537262106,14032,14032
1537263005,13994,13994
1537263906,14050,14050
1537264805,13989,13989
1537265706,14013,14013
1537266606,13800,13800
1537267505,13718,13718
1537268405,13919,13919
1537269306,14176,14176
1537270207,14438,14438
1537271106,14557,14557
1537272007,14774,14774
1537272906,14908,14908
1537273806,14998,14998
1537274706,14849,14849
1537275606,14780,14780
1537276507,14574,14574
1537277407,14272,14272
1537278305,14020,14020
1537279205,13969,13969
1537280107,14114,14114
1537281006,14172,14172
1537281907,14102,14102
1537282806,14190,14190
1537283707,14348,14348
1537284606,14019,14019
1537285506,13946,13946
1537286406,14130,14130
1537288207,13616,13616
1537289106,13388,13388
1537290007,13270,13270
1537290907,13146,13146
1537291806,13063,13063
1537292706,13070,13070
1537293606,12996,12996
1537294506,12781,12781
1537295405,13383,13383
1537296305,14000,14000
1537297205,14636,14636
1537298106,15114,15114
1537299006,15449,15449
1537299906,15678,15678
1537300808,15798,15798
1537301707,16090,16090
1537302606,16279,16279
1537303507,16340,16340
1537304407,16319,16319
1537305307,16427,16427
1537306207,16622,16622
1537307107,16719,16719
1537308006,16629,16629
1537308906,16590,16590
1537309806,16538,16538
1537310706,16432,16432
1537311607,16496,16496
1537312507,16666,16666
1537313405,16928,16928
1537314306,17015,17015
1537315206,17093,17093
1537316106,17072,17072
1537317007,16687,16687
1537317906,16432,16432
1537318806,16228,16228
1537319705,15663,15663
1537320607,15425,15425
1537321507,15363,15363
1537322406,15301,15301
1537323306,15194,15194
1537324207,15251,15251
1537325107,15266,15266
1537326006,15354,15354
1537326908,15615,15615
1537327805,15806,15806
1537328706,15953,15953
1537329606,16164,16164
1537330507,16384,16384
1537331407,16642,16642
1537332308,16717,16717
1537333207,16690,16690
1537334105,16440,16440
1537335007,16417,16417
1537335907,16518,16518
1537336807,16402,16402
1537337707,16589,16589
1537338606,16754,16754
1537339507,16817,16817
1537340406,16947,16947
1537341306,17021,17021
1537342207,17365,17365
1537343106,17703,17703
1537344006,17820,17820
1537344907,17931,17931
1537345805,18072,18072
1537346707,18105,18105
1537347605,18239,18239
1537348506,18281,18281
1537349406,18271,18271
1537350307,18368,18368
1537351206,18392,18392
1537352107,18350,18350
1537353906,18143,18143
1537354807,17929,17929
1537355706,17747,17747
1537356607,17681,17681
1537357506,17607,17607
1537358406,17622,17622
1537359305,17731,17731
1537360207,17958,17958
1537361107,18046,18046
1537362007,18223,18223
1537362905,18269,18269
1537363805,18223,18223
1537364706,18226,18226
1537365605,18282,18282
1537366504,18321,18321
1537367405,18388,18388
1537368305,18440,18440
1537369206,18497,18497
1537370104,18548,18548
1537371004,18629,18629
1537371904,18738,18738
1537372804,18836,18836
1537373705,18929,18929
1537374604,19025,19025
1537375504,19141,19141
1537376404,19254,19254
1537377304,19386,19386
1537378204,19539,19539
1537379104,19673,19673
1537380004,19783,19783
1537380904,19908,19908
1537381804,20006,20006
1537382704,20143,20143
1537383604,20271,20271
1537384504,20379,20379
1537385404,20523,20523
1537386304,20361,20361
1537387203,19881,19881
1537388103,19313,19313
1537389003,18896,18896
1537389903,18346,18346
1537390803,17883,17883
1537391703,17511,17511
1537392604,17191,17191
1537393503,16873,16873
1537394403,17110,17110
1537395303,20075,20075
1537396203,21729,21729
1537397104,22657,22657
1537398003,23338,23338
1537398904,23905,23905
1537399804,24288,24288
1537400703,24421,24421
1537401604,24467,24467
1537402504,24148,24148
1537403404,23362,23362
1537404304,22373,22373
1537405206,19253,19253
1537406104,15836,15836
1537407004,13682,13682
1537407904,12121,12121
1537408804,10563,10563
1537409705,9429,9429
1537410606,8641,8641
1537411506,8246,8246
1537412407,8004,8004
1537413306,7305,7305
1537414207,7006,7006
1537415106,6778,6778
1537416008,6632,6632
1537416907,6271,6271
1537417807,6238,6238
1537418707,6267,6267
1537419608,6203,6203
1537420508,5750,5750
1537421408,5971,5971
1537422308,5763,5763
1537423209,5599,5599
1537424108,5214,5214
1537425009,4985,4985
1537425909,4753,4753
1537426809,4498,4498
1537427710,4118,4118
1537428608,3857,3857
1537429509,3724,3724
1537430410,3723,3723
1537431310,3278,3278
1537432209,3505,3505
1537433110,3704,3704
1537434009,3761,3761
1537434910,3856,3856
1537435809,3257,3257
1537436709,3061,3061
1537437610,2912,2912
1537438512,3042,3042
1537439411,4142,4142
1537440309,5346,5346
1537441211,5687,5687
1537442111,6462,6462
1537443010,7145,7145
1537443909,7822,7822
1537444810,8465,8465
1537445711,9185,9185
1537446611,10030,10030
1537447511,10714,10714
1537448412,11512,11512
1537449310,12318,12318
1537450211,13226,13226
1537451110,14081,14081
1537452010,14939,14939
1537452911,16180,16180
1537453811,16309,16309
1537454711,16294,16294
1537455611,16512,16512
1537456508,16602,16602
1537457410,16901,16901
1537458309,17051,17051
1537459210,17053,17053
1537460111,17164,17164
1537461010,17352,17352
1537461911,17266,17266
1537462810,17125,17125
1537463711,17023,17023
1537464612,16761,16761
1537465511,16197,16197
1537466409,15512,15512
1537467311,15026,15026
1537468208,14446,14446
1537469110,14043,14043
