DateTime,Entries,UniqueIPs
1537112408,4952,4952
1537112887,4953,4953
1537120330,4952,4952
1537121046,4953,4953
1537126805,4952,4952
1537127287,4953,4953
1537134006,4952,4952
1537135685,4953,4953
1537146034,4951,4951
1537146488,4947,4947
1537146967,4942,4942
1537147444,4945,4945
1537147931,4947,4947
1537148405,4946,4946
1537148892,4943,4943
1537149366,4944,4944
1537149847,4946,4946
1537150324,4945,4945
1537150810,4948,4948
1537151288,4946,4946
1537152012,4947,4947
1537152485,4948,4948
1537152965,4951,4951
1537153446,4950,4950
1537153930,4950,4950
1537154405,4950,4950
1537154885,4952,4952
1537155364,4950,4950
1537155848,4950,4950
1537156325,4951,4951
1537156819,4951,4951
1537157287,4949,4949
1537157767,4949,4949
1537158248,4947,4947
1537158728,4947,4947
1537159205,4948,4948
1537159686,4945,4945
1537160165,4948,4948
1537160645,4947,4947
1537161126,4947,4947
1537161613,4949,4949
1537162089,4947,4947
1537162566,4948,4948
1537163046,4948,4948
1537163531,4946,4946
1537164017,4947,4947
1537164486,4947,4947
1537164970,4945,4945
1537165450,4948,4948
1537165928,4947,4947
1537166409,4947,4947
1537166891,4951,4951
1537167376,4948,4948
1537167848,4951,4951
1537168326,4955,4955
1537168809,4954,4954
1537169287,4955,4955
1537169769,4952,4952
1537170247,4953,4953
1537170725,4952,4952
1537171225,4949,4949
1537171687,4949,4949
1537172176,4951,4951
1537172645,4954,4954
1537173141,4955,4955
1537176968,4954,4954
1537178418,4955,4955
1537182247,4954,4954
1537182726,4955,4955
1537187529,4954,4954
1537188005,4955,4955
1537196650,4954,4954
1537197609,4955,4955
1537198568,4954,4954
1537199047,4955,4955
1537200497,4954,4954
1537200969,4955,4955
1537204326,4954,4954
1537205285,4955,4955
1537216329,4954,4954
1537216805,4955,4955
1537229527,4954,4954
1537230970,4955,4955
1537232890,4951,4951
1537233368,4956,4956
1537233846,4955,4955
1537234326,4951,4951
1537234809,4951,4951
1537235285,4951,4951
1537235765,4950,4950
1537236250,4951,4951
1537236728,4951,4951
1537237207,4952,4952
1537237688,4952,4952
1537238165,4952,4952
1537238649,4955,4955
1537239128,4954,4954
1537239616,4955,4955
1537240086,4957,4957
1537240570,4952,4952
1537241047,4952,4952
1537241526,4953,4953
1537242009,4954,4954
1537242486,4954,4954
1537242967,4958,4958
1537243445,4959,4959
1537243928,4955,4955
1537244406,4956,4956
1537244886,4955,4955
1537245366,4951,4951
1537245846,4957,4957
1537246329,4957,4957
1537246823,4954,4954
1537247286,4954,4954
1537247767,4956,4956
1537248245,4955,4955
1537248730,4956,4956
1537249206,4957,4957
1537249685,4955,4955
1537250170,4952,4952
1537250652,4952,4952
1537251126,4952,4952
1537251604,4953,4953
1537252089,4948,4948
1537252567,4947,4947
1537253046,4946,4946
1537253529,4947,4947
1537254024,4951,4951
1537254487,4947,4947
1537254967,4946,4946
1537255444,4944,4944
1537255929,4941,4941
1537256410,4941,4941
1537256888,4940,4940
1537257366,4945,4945
1537257845,4941,4941
1537258330,4938,4938
1537258814,4938,4938
1537259285,4939,4939
1537259768,4943,4943
1537260249,4942,4942
1537262167,4942,4942
1537263130,4943,4943
1537266965,4942,4942
1537268887,4943,4943
1537275125,4942,4942
1537275851,4943,4943
1537281847,4942,4942
1537282815,4943,4943
1537290011,4942,4942
1537290972,4943,4943
1537294812,4942,4942
1537295764,4943,4943
1537303929,4944,4944
1537304423,4943,4943
1537305846,4944,4944
1537317605,4943,4943
1537318566,4944,4944
1537319051,4937,4937
1537319526,4939,4939
1537320005,4942,4942
1537320490,4941,4941
1537320965,4942,4942
1537321447,4942,4942
1537321929,4946,4946
1537322409,4940,4940
1537322887,4943,4943
1537323365,4943,4943
1537323845,4945,4945
1537324333,4941,4941
1537324818,4944,4944
1537325285,4944,4944
1537325769,4941,4941
1537326246,4942,4942
1537326726,4944,4944
1537327205,4944,4944
1537327689,4946,4946
1537328165,4947,4947
1537328650,4944,4944
1537329124,4941,4941
1537329619,4946,4946
1537330085,4943,4943
1537330565,4946,4946
1537331046,4943,4943
1537331526,4942,4942
1537332009,4943,4943
1537332487,4946,4946
1537332965,4947,4947
1537333450,4945,4945
1537333925,4944,4944
1537334407,4949,4949
1537334888,4950,4950
1537335364,4949,4949
1537335845,4946,4946
1537336330,4951,4951
1537336813,4955,4955
1537337287,4958,4958
1537337769,4958,4958
1537338245,4958,4958
1537338731,4958,4958
1537339209,4956,4956
1537339684,4956,4956
1537340179,4955,4955
1537340648,4954,4954
1537341366,4955,4955
1537341848,4957,4957
1537342329,4959,4959
1537342805,4957,4957
1537343286,4957,4957
1537343764,4957,4957
1537344246,4957,4957
1537344726,4957,4957
1537345209,4959,4959
1537345929,4960,4960
1537346406,4961,4961
1537348805,4960,4960
1537349289,4961,4961
1537351687,4960,4960
1537352170,4961,4961
1537355527,4960,4960
1537356006,4961,4961
1537363690,4960,4960
1537364165,4961,4961
1537371606,4960,4960
1537372567,4961,4961
1537381205,4960,4960
1537382164,4961,4961
1537388408,4960,4960
1537389369,4961,4961
1537394648,4960,4960
1537395128,4961,4961
1537400406,4960,4960
1537401368,4961,4961
1537405686,4953,4953
1537406166,4953,4953
1537406646,4953,4953
1537407129,4954,4954
1537407614,4956,4956
1537408088,4953,4953
1537408576,4950,4950
1537409050,4952,4952
1537409528,4948,4948
1537410006,4952,4952
1537410491,4951,4951
1537410966,4952,4952
1537411447,4951,4951
1537411928,4947,4947
1537412420,4946,4946
1537412886,4949,4949
1537413366,4944,4944
1537413845,4947,4947
1537414327,4952,4952
1537415300,4951,4951
1537415766,4951,4951
1537416256,4953,4953
1537416728,4949,4949
1537417210,4949,4949
1537417687,4949,4949
1537418167,4952,4952
1537418645,4949,4949
1537419130,4952,4952
1537419646,4951,4951
1537420087,4951,4951
1537420569,4951,4951
1537421048,4949,4949
1537421527,4947,4947
1537422005,4949,4949
1537422491,4951,4951
1537422966,4951,4951
1537423448,4954,4954
1537423931,4952,4952
1537424411,4947,4947
1537424885,4952,4952
1537425368,4951,4951
1537425853,4951,4951
1537426326,4953,4953
1537426827,4956,4956
1537427289,4957,4957
1537427778,4955,4955
1537428247,4957,4957
1537428728,4957,4957
1537429204,4958,4958
1537429690,4959,4959
1537430169,4957,4957
1537430648,4955,4955
1537431371,4954,4954
1537431846,4960,4960
1537432327,4961,4961
1537432809,4960,4960
1537435206,4961,4961
1537440005,4960,4960
1537440966,4961,4961
1537447210,4960,4960
1537448168,4961,4961
1537452971,4960,4960
1537453449,4961,4961
1537457770,4959,4959
1537458246,4960,4960
1537458728,4959,4959
1537459690,4960,4960
1537460166,4961,4961
1537461605,4960,4960
1537463529,4961,4961
1537466885,4960,4960
1537467370,4961,4961
1537473652,4960,4960
1537474566,4961,4961
1537476490,4960,4960
1537476967,4961,4961
1537479364,4960,4960
1537480325,4961,4961
1537491850,4960,4960
1537492336,4950,4950
1537492805,4950,4950
1537493299,4950,4950
1537493767,4955,4955
1537494247,4950,4950
1537494730,4950,4950
1537495223,4951,4951
1537495686,4948,4948
1537496170,4948,4948
1537496645,4949,4949
1537497613,4951,4951
1537498092,4948,4948
1537498564,4947,4947
1537499045,4952,4952
1537499525,4953,4953
1537500017,4952,4952
1537500484,4953,4953
1537500964,4953,4953
1537501450,4951,4951
1537501986,4949,4949
1537502419,4949,4949
1537502948,4949,4949
1537503366,4955,4955
1537503846,4954,4954
1537504329,4950,4950
1537504805,4952,4952
1537505286,4953,4953
1537505776,4949,4949
1537506246,4953,4953
1537506736,4952,4952
1537507207,4953,4953
1537507691,4952,4952
1537508167,4951,4951
1537508645,4951,4951
1537509130,4951,4951
1537509627,4951,4951
