DateTime,Entries,UniqueIPs
1537321924,7081,7291
1537322523,7116,7330
1537323724,7066,7279
1537324323,7142,7355
1537324923,7192,7405
1537326123,7142,7354
1537326724,7149,7360
1537327323,7163,7368
1537327923,7155,7361
1537328523,7126,7327
1537329723,7169,7371
1537330925,7122,7321
1537332124,7163,7365
1537333324,7079,7277
1537334524,7069,7269
1537335723,7018,7202
1537336325,7019,7201
1537336923,7078,7260
1537338123,7038,7222
1537338724,7081,7268
1537339324,7103,7289
1537339923,7149,7335
1537340525,7183,7370
1537341124,7187,7377
1537341723,7148,7337
1537342323,7204,7394
1537342923,7217,7399
1537344124,7126,7306
1537344724,7181,7364
1537345323,7247,7430
1537345924,7251,7435
1537346524,7265,7448
1537347725,7232,7414
1537348324,7252,7431
1537348923,7262,7441
1537350123,7268,7446
1537350723,7262,7437
1537351323,7192,7364
1537351924,7224,7393
1537352523,7223,7392
1537353123,7286,7455
1537353724,7307,7472
1537354323,7316,7480
1537354924,7365,7529
1537356123,7289,7455
1537357323,7251,7410
1537358525,7211,7367
1537359124,7176,7331
1537359723,7182,7338
1537360923,7186,7337
1537362124,7184,7334
1537362724,7209,7351
1537363323,7207,7350
1537364523,7278,7421
1537365724,7176,7307
1537366324,7232,7365
1537366923,7284,7420
1537367523,7244,7374
1537368124,7289,7421
1537368723,7291,7421
1537369323,7294,7426
1537369924,7342,7477
1537370524,7348,7481
1537371724,7316,7445
1537372324,7279,7402
1537372924,7332,7457
1537374123,7331,7455
1537375324,7342,7466
1537376524,7306,7429
1537377123,7309,7430
1537377724,7274,7394
1537378924,7251,7373
1537379523,7249,7371
1537380123,7260,7381
1537381323,7203,7324
1537382523,7264,7387
1537383123,7272,7392
1537383723,7176,7295
1537384324,7172,7292
1537384924,7175,7295
1537386123,7180,7299
1537386724,7121,7239
1537387324,7181,7299
1537388523,7174,7290
1537389123,7124,7240
1537389723,7150,7268
1537390923,7097,7215
1537391523,7129,7249
1537392123,7123,7240
1537393323,7092,7208
1537393924,7150,7268
1537394523,7215,7333
1537395124,7135,7252
1537395723,7176,7301
1537396324,7168,7296
1537396923,7168,7295
1537398125,7108,7233
1537398724,7104,7231
1537399323,7156,7283
1537399923,7147,7273
1537400524,7130,7250
1537401124,7082,7200
1537401725,7092,7211
1537402323,7152,7272
1537402924,7116,7232
1537403523,7171,7288
1537404124,7182,7292
1537404724,7234,7347
1537405324,7300,7415
1537405923,7245,7358
1537406525,7245,7357
1537407123,7293,7405
1537407723,7281,7392
1537408323,7287,7399
1537408923,7284,7392
1537410123,7353,7461
1537410723,7277,7385
1537411323,7277,7387
1537412523,7281,7390
1537413723,7182,7292
1537414923,7106,7217
1537415524,7166,7279
1537416123,7175,7288
1537417324,7179,7291
1537418523,7189,7303
1537419123,7241,7356
1537419723,7306,7422
1537420923,7259,7378
1537422124,7233,7354
1537422723,7217,7339
1537423323,7214,7337
1537424523,7264,7389
1537425123,7221,7344
1537425724,7219,7344
1537426324,7267,7394
1537426923,7227,7357
1537427524,7219,7350
1537428124,7287,7418
1537429323,7226,7357
1537429923,7214,7347
1537430523,7219,7351
1537431123,7215,7349
1537431723,7204,7345
1537432323,7245,7391
1537432923,7182,7330
1537433523,7243,7392
1537434123,7241,7388
1537434724,7221,7368
1537435324,7278,7429
1537435924,7276,7427
1537436523,7324,7478
1537437723,7178,7329
1537438324,7236,7387
1537438923,7217,7367
1537440123,7139,7294
1537440723,7142,7295
1537441324,7115,7269
1537441924,7116,7271
1537442523,7119,7274
1537443123,7178,7333
1537443723,7183,7342
1537444323,7231,7390
1537444924,7228,7384
1537445525,7278,7434
1537446123,7223,7380
1537447324,7245,7403
1537447923,7289,7448
1537448523,7277,7435
1537449724,7286,7447
1537450324,7284,7445
1537450923,7277,7438
1537452124,7299,7451
1537452723,7296,7444
1537453324,7291,7440
1537454523,7244,7392
1537455124,7257,7399
1537455723,7301,7448
1537456924,7216,7363
1537457527,7286,7433
1537458124,7289,7432
1537458723,7354,7498
1537459325,7312,7460
1537459924,7369,7520
1537460524,7371,7523
1537461723,7382,7532
1537462323,7451,7602
1537462924,7440,7592
1537464123,7424,7575
1537465324,7358,7507
1537466524,7280,7431
1537467123,7340,7491
1537467723,7329,7482
1537468924,7383,7537
1537469523,7326,7477
1537470124,7361,7518
1537471324,7215,7367
1537471923,7264,7419
1537472524,7281,7435
1537473123,7340,7494
1537473724,7348,7500
