DateTime,AddedIPs,RemovedIPs
1537321924,8,0
1537322523,3,67
1537323724,60,150
1537324323,68,28
1537324923,18,24
1537326123,29,47
1537326724,43,0
1537327323,21,23
1537327923,31,25
1537328523,28,16
1537329723,16,25
1537330925,21,0
1537332124,5,77
1537333324,24,70
1537334524,25,57
1537335723,40,40
1537336325,9,3
1537336923,20,0
1537338123,37,35
1537338724,5,27
1537339324,29,33
1537339923,16,0
1537340525,6,17
1537341124,12,8
1537341723,32,24
1537342323,40,0
1537342923,32,0
1537344124,11,53
1537344724,12,0
1537345323,52,0
1537345924,45,42
1537346524,42,38
1537347725,12,80
1537348324,28,63
1537348923,30,25
1537350123,40,5
1537350723,32,0
1537351323,17,44
1537351924,27,64
1537352523,44,50
1537353123,45,0
1537353724,40,61
1537354323,51,43
1537354924,8,30
1537356123,11,5
1537357323,23,54
1537358525,28,4
1537359124,24,0
1537359723,13,48
1537360923,13,111
1537362124,25,0
1537362724,21,47
1537363323,5,38
1537364523,48,0
1537365724,7,0
1537366324,17,40
1537366923,37,31
1537367523,52,0
1537368124,17,74
1537368723,17,0
1537369323,23,53
1537369924,13,0
1537370524,38,18
1537371724,15,67
1537372324,29,8
1537372924,27,29
1537374123,19,8
1537375324,21,86
1537376524,32,47
1537377123,19,55
1537377724,16,66
1537378924,7,72
1537379523,40,0
1537380123,43,0
1537381323,36,19
1537382523,17,39
1537383123,36,0
1537383723,13,0
1537384324,21,33
1537384924,42,42
1537386123,22,44
1537386724,30,0
1537387324,30,63
1537388523,36,15
1537389123,19,0
1537389723,30,41
1537390923,28,34
1537391523,4,31
1537392123,5,23
1537393323,39,28
1537393924,33,0
1537394523,47,12
1537395124,19,0
1537395723,5,0
1537396324,20,72
1537396923,30,27
1537398125,13,34
1537398724,22,0
1537399323,22,22
1537399923,16,0
1537400524,9,0
1537401124,10,12
1537401725,12,21
1537402323,40,0
1537402924,34,51
1537403523,18,0
1537404124,8,46
1537404724,17,10
1537405324,14,0
1537405923,30,36
1537406525,37,0
1537407123,22,19
1537407723,14,17
1537408323,20,42
1537408923,3,10
1537410123,51,33
1537410723,28,51
1537411323,21,2
1537412523,9,0
1537413723,6,145
1537414923,30,19
1537415524,40,36
1537416123,44,16
1537417324,43,74
1537418523,14,63
1537419123,23,30
1537419723,42,0
1537420923,14,47
1537422124,10,83
1537422723,19,26
1537423323,30,31
1537424523,25,0
1537425123,22,76
1537425724,25,59
1537426324,17,0
1537426923,11,38
1537427524,16,55
1537428124,34,56
1537429323,28,69
1537429923,19,51
1537430523,13,0
1537431123,13,56
1537431723,13,0
1537432323,8,27
1537432923,32,27
1537433523,41,22
1537434123,33,0
1537434724,26,26
1537435324,19,0
1537435924,38,79
1537436523,11,67
1537437723,10,42
1537438324,21,16
1537438923,34,26
1537440123,27,31
1537440723,35,0
1537441324,12,21
1537441924,8,0
1537442523,30,12
1537443123,25,0
1537443723,14,55
1537444323,25,0
1537444924,21,76
1537445525,19,0
1537446123,17,69
1537447324,16,10
1537447923,16,0
1537448523,19,36
1537449724,14,39
1537450324,20,38
1537450923,21,28
1537452124,45,46
1537452723,21,14
1537453324,17,31
1537454523,30,0
1537455124,62,72
1537455723,17,0
1537456924,29,56
1537457527,40,0
1537458124,22,16
1537458723,44,0
1537459325,40,68
1537459924,33,36
1537460524,31,47
1537461723,56,42
1537462323,52,12
1537462924,9,0
1537464123,17,75
1537465324,13,109
1537466524,22,150
1537467123,33,0
1537467723,10,11
1537468924,36,0
1537469523,35,94
1537470124,10,0
1537471324,3,108
1537471923,7,0
1537472524,44,22
1537473123,35,0
1537473724,47,27
1537474325,48,65
1537474923,27,56
1537476123,29,78
1537476724,37,0
1537477324,27,31
1537477923,31,0
1537478524,20,42
1537479123,9,50
1537479723,12,28
1537480923,19,9
1537481524,9,32
1537482123,17,0
1537483323,23,172
1537483924,21,0
1537484524,27,0
1537485123,9,57
1537485723,31,78
1537486324,37,31
1537486925,42,0
1537487524,37,0
1537488124,7,127
1537488725,43,72
1537489324,7,57
1537490523,28,29
1537491125,13,40
1537491723,25,0
1537492923,14,35
1537493523,18,43
1537494123,6,63
1537495323,12,76
1537495924,44,0
1537496525,30,48
1537497123,30,0
1537497723,19,48
1537498924,22,10
1537500124,12,74
1537501324,23,59
1537501923,20,42
1537502523,15,39
1537503724,15,58
1537504923,36,34
1537505525,16,75
1537506123,55,55
1537506726,19,59
1537507323,3,19
1537507923,16,0
1537508524,38,79
1537509123,37,0
1537509723,44,77
1537510324,14,7
1537510923,34,75
1537511524,30,28
1537512123,36,4
1537512724,17,0
1537513323,35,69
1537513925,16,0
1537514524,14,59
1537515124,41,0
1537515723,27,31
1537516924,31,65
1537517523,16,0
1537518125,21,26
1537519324,11,17
1537519924,37,30
1537520523,33,0
1537521124,42,81
1537521725,16,22
1537522923,15,90
1537523524,34,51
1537524124,35,69
1537524723,25,0
1537525323,26,60
1537525924,31,0
1537526523,12,37
1537527723,35,11
1537528324,38,20
1537528923,29,0
1537529523,21,47
1537530123,11,11
1537530723,20,32
1537531325,19,24
1537532523,34,60
1537533123,27,0
1537533724,13,37
1537534923,28,38
1537535523,18,0
1537536125,22,0
1537537324,12,128
1537537924,28,34
1537538524,20,59
1537539124,31,0
1537539724,21,0
1537540323,10,29
1537540924,3,0
1537541523,24,63
1537542125,29,68
1537542723,16,23
1537543323,23,31
1537544523,11,47
1537545123,20,55
1537545724,16,0
1537546325,5,75
1537546924,20,24
1537547524,31,0
1537548123,12,65
1537549324,10,39
1537550524,27,67
1537551723,32,26
1537552323,11,102
1537552924,7,30
1537554123,33,0
1537555324,17,115
1537556524,26,109
1537557724,8,0
1537558924,25,24
1537560123,13,53
1537561323,34,29
1537562524,28,17
1537563725,31,62
1537564323,21,12
1537564924,23,31
1537566123,10,101
1537566723,23,0
1537567323,20,25
1537568524,31,71
1537569723,32,97
1537570324,14,62
1537570924,28,0
1537571523,19,93
1537572124,28,23
1537572724,11,0
1537573324,23,20
1537573924,30,0
1537574527,2,0
1537575723,16,19
1537576923,11,80
1537577523,23,7
1537578124,26,0
1537579323,31,76
1537579923,15,30
1537580523,17,16
1537581124,7,0
1537581724,31,70
1537582324,18,0
1537582924,35,24
1537583523,42,0
1537584123,36,64
1537585323,12,39
1537585924,10,40
1537586523,19,28
1537587723,10,64
1537588325,28,41
1537588923,11,0
1537589525,13,61
1537590123,5,0
1537591323,35,87
1537592523,17,23
1537593723,19,11
1537594324,18,0
1537594924,46,10
1537595524,40,61
1537596123,23,40
1537597323,14,42
1537597924,29,0
1537598523,24,27
1537599723,20,34
1537600324,30,0
1537600923,23,0
1537601523,11,45
1537602123,14,0
1537602723,23,7
1537603323,29,19
1537603923,23,0
1537604524,18,0
1537605123,5,62
1537605723,9,111
1537606323,31,0
1537606924,30,124
1537607524,27,0
1537608123,11,0
1537609324,10,72
1537610523,28,40
1537611723,18,31
1537612323,22,0
1537612924,8,34
1537614124,34,91
1537614724,19,0
1537615324,16,25
1537615924,9,0
1537616523,32,155
1537617123,13,28
1537617724,40,0
1537618924,21,29
1537619524,13,23
1537620123,10,26
1537621324,37,12
1537621924,39,0
1537622524,34,0
1537623723,9,35
1537624323,10,0
1537624923,43,54
1537626123,39,0
1537626723,46,37
1537627323,46,0
1537628524,11,52
1537629124,10,18
1537629725,24,21
1537630924,23,62
1537631523,54,0
1537632123,16,28
1537633324,12,25
1537633923,15,22
1537634524,15,32
1537635725,12,27
1537636324,12,0
1537636924,26,23
1537637524,28,19
1537638124,28,55
1537638723,23,29
1537639323,11,0
1537639924,22,58
1537640524,19,48
