DateTime,AddedIPs,RemovedIPs
1537321924,80,80
1537322523,80,80
1537323724,80,80
1537324323,80,80
1537324923,79,79
1537326123,79,79
1537326724,80,80
1537327323,80,80
1537327923,80,80
1537328523,80,80
1537329723,80,80
1537330925,80,80
1537332124,80,80
1537333324,79,79
1537334524,80,80
1537335723,80,80
1537336325,80,80
1537336923,79,79
1537338123,80,80
1537338724,80,80
1537339324,80,80
1537339923,80,80
1537340525,79,79
1537341124,79,79
1537341723,80,80
1537342323,80,80
1537342923,79,79
1537344124,80,80
1537344724,78,78
1537345323,80,80
1537345924,80,80
1537346524,80,80
1537347725,80,80
1537348324,80,80
1537348923,80,80
1537350123,80,80
1537350723,80,80
1537351323,80,80
1537351924,80,80
1537352523,80,80
1537353123,80,80
1537353724,80,80
1537354323,80,80
1537354924,79,79
1537356123,80,80
1537357323,80,80
1537358525,80,80
1537359124,80,80
1537359723,80,80
1537360923,80,80
1537362124,79,79
1537362724,80,80
1537363323,78,78
1537364523,80,80
1537365724,80,80
1537366324,79,79
1537366923,80,80
1537367523,80,80
1537368124,80,80
1537368723,79,79
1537369323,80,80
1537369924,80,80
1537370524,80,80
1537371724,79,79
1537372324,80,80
1537372924,80,80
1537374123,80,80
1537375324,80,80
1537376524,80,80
1537377123,79,79
1537377724,80,80
1537378924,80,80
1537379523,80,80
1537380123,80,80
1537381323,80,80
1537382523,80,80
1537383123,80,80
1537383723,79,79
1537384324,79,79
1537384924,80,80
1537386123,80,80
1537386724,80,80
1537387324,79,79
1537388523,80,80
1537389123,80,80
1537389723,78,78
1537390923,80,80
1537391523,80,80
1537392123,80,80
1537393323,80,80
1537393924,80,80
1537394523,80,80
1537395124,80,80
1537395723,80,80
1537396324,80,80
1537396923,80,80
1537398125,79,79
1537398724,80,80
1537399323,80,80
1537399923,80,80
1537400524,79,79
1537401124,80,80
1537401725,80,80
1537402323,79,79
1537402924,80,80
1537403523,79,79
1537404124,79,79
1537404724,80,80
1537405324,79,79
1537405923,77,77
1537406525,79,79
1537407123,80,80
1537407723,80,80
1537408323,80,80
1537408923,79,79
1537410123,80,80
1537410723,80,80
1537411323,80,80
1537412523,80,80
1537413723,80,80
1537414923,80,80
1537415524,80,80
1537416123,80,80
1537417324,75,75
1537418523,80,80
1537419123,79,79
1537419723,80,80
1537420923,80,80
1537422124,80,80
1537422723,80,80
1537423323,79,79
1537424523,80,80
1537425123,80,80
1537425724,80,80
1537426324,80,80
1537426923,80,80
1537427524,79,79
1537428124,80,80
1537429323,80,80
1537429923,80,80
1537430523,79,79
1537431123,80,80
1537431723,80,80
1537432323,80,80
1537432923,79,79
1537433523,80,80
1537434123,80,80
1537434724,79,79
1537435324,80,80
1537435924,80,80
1537436523,80,80
1537437723,80,80
1537438324,80,80
1537438923,80,80
1537440123,80,80
1537440723,78,78
1537441324,79,79
1537441924,79,79
1537442523,80,80
1537443123,80,80
1537443723,80,80
1537444323,80,80
1537444924,80,80
1537445525,80,80
1537446123,80,80
1537447324,79,79
1537447923,79,79
1537448523,78,78
1537449724,80,80
1537450324,79,79
1537450923,80,80
1537452124,80,80
1537452723,80,80
1537453324,80,80
1537454523,80,80
1537455124,80,80
1537455723,80,80
1537456924,80,80
1537457527,80,80
1537458124,80,80
1537458723,80,80
1537459325,80,80
1537459924,80,80
1537460524,80,80
1537461723,80,80
1537462323,80,80
1537462924,80,80
1537464123,80,80
1537465324,80,80
1537466524,80,80
1537467123,80,80
1537467723,79,79
1537468924,80,80
1537469523,80,80
1537470124,80,80
1537471324,80,80
1537471923,80,80
1537472524,79,79
1537473123,79,79
1537473724,80,80
1537474325,79,79
1537474923,80,80
1537476123,80,80
1537476724,80,80
1537477324,80,80
1537477923,79,79
1537478524,80,80
1537479123,80,80
1537479723,80,80
1537480923,80,80
1537481524,80,80
1537482123,80,80
1537483323,80,80
1537483924,79,79
1537484524,80,80
1537485123,80,80
1537485723,80,80
1537486324,80,80
1537486925,80,80
1537487524,80,80
1537488124,80,80
1537488725,79,79
1537489324,80,80
1537490523,80,80
1537491125,80,80
1537491723,80,80
1537492923,80,80
1537493523,80,80
1537494123,80,80
1537495323,80,80
1537495924,80,80
1537496525,79,79
1537497123,80,80
1537497723,80,80
1537498924,80,80
1537500124,80,80
1537501324,80,80
1537501923,80,80
1537502523,80,80
1537503724,80,80
1537504923,80,80
1537505525,80,80
1537506123,80,80
1537506726,79,79
1537507323,80,80
1537507923,80,80
1537508524,80,80
1537509123,80,80
1537509723,80,80
1537510324,80,80
1537510923,80,80
1537511524,80,80
1537512123,80,80
1537512724,80,80
1537513323,80,80
1537513925,80,80
1537514524,80,80
1537515124,80,80
1537515723,80,80
1537516924,80,80
1537517523,80,80
1537518125,80,80
1537519324,80,80
1537519924,80,80
1537520523,80,80
1537521124,80,80
1537521725,80,80
1537522923,80,80
1537523524,80,80
1537524124,80,80
1537524723,79,79
1537525323,80,80
1537525924,80,80
