DateTime,Entries,UniqueIPs
1537315323,3533,3547
1537315924,3471,3485
1537316523,3479,3493
1537317723,3454,3468
1537318923,3417,3432
1537319523,3427,3443
1537320124,3479,3495
1537321323,3480,3498
1537322522,3514,3532
1537323723,3515,3534
1537324322,3526,3545
1537324923,3553,3572
1537326123,3577,3596
1537326724,3564,3583
1537327323,3567,3587
1537328523,3524,3544
1537329722,3569,3590
1537330924,3599,3620
1537331523,3641,3663
1537332124,3678,3700
1537332724,3701,3723
1537333324,3709,3731
1537334524,3725,3746
1537335723,3708,3728
1537336923,3685,3705
1537338123,3598,3617
1537339323,3559,3577
1537340524,3597,3615
1537341123,3599,3617
1537341723,3569,3587
1537342323,3616,3634
1537342923,3642,3660
1537344123,3620,3638
1537344724,3630,3648
1537345323,3632,3650
1537346523,3621,3639
1537347724,3626,3643
1537348323,3632,3649
1537348923,3628,3645
1537350123,3626,3643
1537351322,3540,3557
1537351923,3565,3583
1537352523,3551,3569
1537353123,3588,3606
1537353723,3585,3603
1537354924,3635,3653
1537356123,3626,3644
1537357323,3616,3634
1537357924,3598,3616
1537358525,3601,3619
1537359124,3599,3617
1537359723,3593,3611
1537360923,3560,3578
1537362123,3572,3590
1537363323,3520,3539
1537364523,3565,3584
1537365724,3516,3535
1537366323,3525,3545
1537366923,3526,3546
1537367523,3552,3571
1537368124,3570,3589
1537368723,3541,3559
1537369322,3549,3567
1537370523,3560,3578
1537371724,3589,3606
1537372323,3584,3600
1537372924,3618,3634
1537374123,3622,3638
1537374723,3668,3684
1537375324,3668,3684
1537376523,3624,3640
1537377123,3602,3618
1537377724,3516,3531
1537378923,3547,3564
1537379522,3531,3548
1537380123,3528,3544
1537381323,3460,3476
1537382523,3504,3520
1537383723,3468,3484
1537384324,3504,3520
1537384923,3516,3533
1537386123,3553,3569
1537386724,3534,3549
1537387324,3544,3559
1537387923,3493,3508
1537388523,3509,3524
1537389123,3467,3481
1537389723,3449,3463
1537390323,3452,3466
1537390923,3459,3473
1537391523,3482,3496
1537392123,3484,3498
1537393323,3476,3490
1537393923,3482,3496
1537394522,3493,3507
1537395124,3527,3542
1537395723,3574,3589
1537396323,3575,3591
1537396923,3552,3569
