DateTime,AddedIPs,RemovedIPs
1537305723,2,14
1537306923,5,13
1537308123,3,20
1537309324,8,5
1537310523,13,2
1537311124,13,6
1537311723,6,11
1537312324,4,9
1537312923,4,4
1537313523,0,1
1537314124,4,3
1537314723,4,0
1537315323,5,17
1537315924,1,11
1537316523,2,0
1537317723,1,2
1537318923,1,16
1537319523,1,0
1537320124,22,0
1537321323,25,21
1537322522,25,0
1537323723,14,6
1537324322,7,0
1537324923,9,15
1537326123,21,22
1537326724,4,15
1537327323,6,5
1537328523,3,29
1537329722,14,14
1537330924,22,20
1537331523,18,0
1537332124,10,0
1537332724,15,6
1537333324,6,2
1537334524,11,0
1537335723,1,7
1537336923,0,18
1537338123,2,15
1537339323,2,1
1537340524,43,1
1537341123,11,3
1537341723,12,9
1537342323,14,0
1537342923,9,2
1537344123,26,6
1537344724,3,9
1537345323,7,19
1537346523,2,9
1537347724,2,14
1537348323,3,0
1537350123,7,8
1537351322,3,16
1537351923,13,0
1537352523,12,15
1537353123,21,8
1537353723,17,18
1537354924,22,0
1537356123,11,13
1537357323,4,19
1537357924,1,0
1537358525,1,7
1537359124,1,0
1537359723,3,0
1537360923,3,16
1537362123,3,29
1537363323,13,29
1537364523,15,1
1537365724,4,20
1537366323,2,0
1537366923,1,0
1537367523,16,0
1537368124,4,0
1537368723,7,14
1537369322,8,17
1537370523,8,9
1537371724,14,4
1537372323,4,11
1537372924,8,9
1537374123,24,4
1537374723,20,23
1537375324,10,13
1537376523,11,0
1537377123,4,14
1537377724,1,4
1537378923,10,6
1537379522,6,0
1537380123,6,3
1537381323,3,0
1537382523,8,43
1537383723,9,11
1537384324,15,5
1537384923,17,8
1537386123,16,4
1537386724,11,0
1537387324,2,0
1537387923,3,0
1537388523,3,10
1537389123,5,0
1537389723,1,0
1537390323,2,0
1537390923,3,8
1537391523,9,0
1537392123,8,18
1537393323,5,18
1537393923,1,0
1537394522,4,1
1537395124,29,0
1537395723,23,0
1537396323,12,0
1537396923,4,4
1537398124,17,2
1537398724,13,4
1537399322,5,0
1537400523,8,25
1537401123,7,12
1537401725,4,15
1537402923,3,10
1537403523,2,5
1537404124,1,7
1537404724,2,0
1537405324,41,0
1537405923,16,1
1537406524,1,0
1537407123,1,18
1537407723,1,9
1537408323,1,0
1537408923,1,2
1537410723,1,10
1537412523,32,17
1537413123,5,0
1537413723,7,1
1537414923,23,24
1537415524,54,0
1537416123,36,7
1537416724,19,0
1537417323,12,6
1537418522,9,4
1537419723,1,0
1537420923,6,43
1537422124,3,32
1537422723,2,0
1537423323,3,23
1537424523,15,0
1537425123,2,5
1537425723,7,2
1537426923,36,17
1537427523,22,0
1537428123,14,0
1537429323,9,1
1537429923,13,10
1537430523,17,0
1537431123,10,32
1537431723,5,0
1537432922,2,32
1537433523,1,0
1537434123,4,1
1537435324,5,5
1537435924,9,6
1537436523,16,2
1537437722,18,20
1537438324,7,0
1537438922,6,25
1537440123,17,9
1537440723,3,0
1537441324,6,6
1537442523,8,7
1537443123,3,0
1537443723,4,0
1537444923,10,4
1537445524,8,0
1537446123,2,7
1537447323,4,18
1537447923,1,5
1537448522,1,0
1537449724,26,12
1537450324,9,8
1537450923,8,5
