DateTime,AddedIPs,RemovedIPs
1537314124,22,22
1537314723,32,32
1537315323,34,34
1537315924,7,7
1537316523,13,13
1537317723,44,44
1537318923,40,40
1537319523,25,25
1537320124,78,78
1537321323,96,96
1537322522,84,84
1537323723,64,64
1537324322,19,19
1537324923,47,47
1537326123,66,66
1537326724,14,14
1537327323,21,21
1537328523,43,43
1537329722,88,88
1537330924,100,100
1537331523,74,74
1537332124,60,60
1537332724,51,51
1537333324,29,29
1537334524,45,45
1537335723,8,8
1537336923,6,6
1537338123,14,14
1537339323,25,25
1537340524,99,99
1537341123,36,36
1537341723,57,57
1537342323,76,76
1537342923,50,50
1537344123,71,71
1537344724,15,15
1537345323,15,15
1537346523,8,8
1537347724,18,18
1537348323,16,16
1537348923,1,1
1537350123,35,35
1537351322,38,38
1537351923,41,41
1537352523,35,35
1537353123,55,55
1537353723,67,67
1537354924,81,81
1537356123,61,61
1537357323,9,9
1537357924,5,5
1537358525,6,6
1537359124,5,5
1537359723,12,12
1537360923,30,30
1537362123,25,25
1537363323,59,59
1537364523,77,77
1537365724,25,25
1537366323,15,15
1537366923,3,3
1537367523,70,70
1537368124,31,31
1537368723,42,42
1537369322,81,81
1537370523,53,53
1537371724,92,92
1537372323,44,44
1537372924,64,64
1537374123,98,98
1537374723,72,72
1537375324,67,67
1537376523,46,46
1537377123,10,10
1537377724,17,17
1537378923,55,55
1537379522,32,32
1537380123,30,30
1537381323,40,40
1537382523,85,85
1537383723,88,88
1537384324,69,69
1537384923,92,92
1537386123,97,97
1537386724,61,61
1537387324,46,46
1537387923,26,26
1537388523,23,23
1537389123,22,22
1537389723,6,6
1537390323,4,4
1537390923,24,24
1537391523,29,29
1537392123,40,40
1537393323,24,24
1537393923,8,8
1537394522,25,25
1537395124,75,75
1537395723,70,70
1537396323,58,58
1537396923,45,45
1537398124,89,89
1537398724,50,50
1537399322,74,74
1537400523,57,57
1537401123,56,56
1537401725,44,44
1537402923,29,29
1537403523,15,15
1537404124,8,8
1537404724,23,23
1537405324,93,93
1537405923,66,66
1537406524,15,15
1537407123,7,7
1537407723,6,6
1537408323,4,4
1537408923,1,1
1537410123,3,3
1537410723,4,4
1537411323,5,5
1537412523,98,98
1537413123,28,28
1537413723,45,45
1537414923,89,89
1537415524,95,95
1537416123,48,48
1537416724,33,33
1537417323,25,25
1537418522,30,30
1537419723,18,18
1537420923,12,12
1537422124,8,8
1537422723,2,2
1537423323,8,8
1537424523,81,81
1537425123,19,19
1537425723,50,50
1537426923,93,93
1537427523,56,56
1537428123,21,21
1537429323,100,100
1537429923,59,59
1537430523,61,61
1537431123,30,30
1537431723,19,19
1537432922,15,15
1537433523,8,8
1537434123,25,25
1537435324,31,31
1537435924,68,68
1537436523,55,55
1537437722,75,75
1537438324,34,34
1537438922,25,25
1537440123,70,70
1537440723,22,22
1537441324,28,28
1537442523,43,43
1537443123,16,16
1537443723,19,19
1537444923,48,48
1537445524,37,37
1537446123,19,19
1537447323,40,40
1537447923,13,13
1537448522,1,1
1537449724,91,91
1537450324,44,44
1537450923,26,26
1537452124,34,34
1537452723,5,5
1537453323,14,14
1537454523,69,69
1537455123,60,60
1537455723,30,30
1537456924,100,100
1537457527,62,62
1537458123,61,61
1537459325,94,94
1537459924,71,71
1537460524,38,38
